,,cc_mean,cc_var,wc
max_avg_bet,0,0.0,0.0,0.0
max_avg_bet,50,1.65,0.5966666666666667,6.2
max_avg_bet,100,3.75,1.3116666666666668,22.0
max_avg_bet,150,5.40625,1.63125,33.4
max_avg_bet,200,6.4625,1.1708333333333334,40.4
max_avg_bet,250,7.25625,1.36375,44.8
max_avg_bet,300,7.91875,1.529583333333333,48.6
max_avg_bet,350,8.41875,1.7537500000000001,51.0
max_avg_bet,400,8.96875,2.0429166666666667,55.4
max_avg_bet,450,9.45,1.9433333333333334,58.8
max_avg_bet,500,9.81875,2.234583333333333,61.0
max_avg_bet,550,10.2625,2.6308333333333334,64.4
max_avg_bet,600,10.64375,3.0729166666666665,67.1
max_avg_bet,650,10.9625,3.4125,69.6
max_avg_bet,700,11.31875,3.652916666666667,73.9
max_avg_bet,750,11.525,3.6558333333333337,75.0
max_avg_bet,800,11.70625,3.8479166666666664,78.0
max_avg_bet,850,11.86875,4.262916666666667,79.6
max_avg_bet,900,11.95625,4.232083333333334,79.6
max_avg_bet,950,12.10625,4.624583333333333,80.6
max_avg_bet,1000,12.20625,4.805416666666667,81.7
max_avg_bet,1050,12.25625,4.840416666666668,81.8
max_avg_bet,1100,12.3375,4.949166666666667,82.3
max_avg_bet,1150,12.4,5.1825,82.9
max_avg_bet,1200,12.425,5.139166666666666,83.0
max_avg_bet,1250,12.50625,5.099583333333333,83.0
max_avg_bet,1300,12.56875,5.14625,83.9
max_avg_bet,1350,12.68125,5.29125,84.8
max_avg_bet,1400,12.74375,5.114583333333334,85.0
max_avg_bet,1450,12.89375,5.32375,86.4
max_avg_bet,1500,12.95625,5.512083333333334,87.1
max_avg_bet,1550,13.04375,5.5945833333333335,87.7
max_avg_bet,1600,13.09375,5.637916666666667,87.8
max_avg_bet,1650,13.175,5.819166666666666,88.6
max_avg_bet,1700,13.30625,6.179583333333333,90.0
max_avg_bet,1750,13.38125,6.630416666666666,90.1
max_avg_bet,1800,13.5125,6.824999999999998,91.8
max_avg_bet,1850,13.61875,7.191249999999999,93.2
max_avg_bet,1900,13.7,7.282500000000001,93.1
max_avg_bet,1950,13.74375,7.498749999999999,93.8
max_avg_bet,2000,13.85625,7.36875,94.7
max_avg_bet,2050,13.96875,7.59875,95.0
max_avg_bet,2100,14.05625,7.85125,95.6
max_avg_bet,2150,14.10625,8.123750000000001,95.4
max_avg_bet,2200,14.20625,8.132916666666667,96.0
max_avg_bet,2250,14.28125,8.37625,97.0
max_avg_bet,2300,14.44375,8.772916666666667,98.4
max_avg_bet,2350,14.5875,9.118333333333332,99.9
max_avg_bet,2400,14.70625,9.270416666666668,100.7
max_avg_bet,2450,14.75625,9.430416666666668,101.3
max_avg_bet,2500,14.8625,9.323333333333334,102.1
max_avg_bet,2550,14.95625,9.594583333333334,102.5
max_avg_bet,2600,15.11875,10.30625,103.6
max_avg_bet,2650,15.2,10.445,103.8
max_avg_bet,2700,15.325,10.509166666666667,105.1
max_avg_bet,2750,15.4375,10.428333333333333,106.4
max_avg_bet,2800,15.49375,10.557083333333333,107.4
max_avg_bet,2850,15.5625,10.818333333333333,108.6
max_avg_bet,2900,15.6125,11.229166666666666,108.9
max_avg_bet,2950,15.7125,11.359166666666669,108.8
max_avg_bet,3000,15.8375,11.804166666666665,110.2
max_avg_bet,3050,15.975,12.1675,111.5
max_avg_bet,3100,16.0875,12.143333333333334,112.4
max_avg_bet,3150,16.19375,12.30125,113.4
max_avg_bet,3200,16.2625,12.375833333333334,114.3
max_avg_bet,3250,16.38125,12.919583333333335,115.3
max_avg_bet,3300,16.55,13.678333333333333,116.8
max_avg_bet,3350,16.68125,13.661249999999999,118.4
max_avg_bet,3400,16.7625,13.635833333333332,119.6
max_avg_bet,3450,16.85625,13.482916666666664,121.3
max_avg_bet,3500,16.95,14.0675,121.7
max_avg_bet,3550,17.01875,14.612083333333334,122.6
max_avg_bet,3600,17.0875,14.415000000000001,122.8
max_avg_bet,3650,17.1875,14.560000000000002,123.7
max_avg_bet,3700,17.25,14.861666666666668,124.8
max_avg_bet,3750,17.3125,15.213333333333333,125.7
max_avg_bet,3800,17.425,15.45416666666667,127.1
max_avg_bet,3850,17.53125,15.825416666666666,128.0
max_avg_bet,3900,17.6125,16.1425,128.5
max_avg_bet,3950,17.6875,16.34583333333333,129.1
max_avg_bet,4000,17.71875,16.47625,129.4
max_avg_bet,4050,17.79375,17.230416666666667,130.3
max_avg_bet,4100,17.825,17.671666666666667,131.3
max_avg_bet,4150,17.9,17.620000000000005,132.2
max_avg_bet,4200,17.9625,17.826666666666664,132.1
max_avg_bet,4250,18.0,17.898333333333333,132.3
max_avg_bet,4300,18.1,17.567500000000003,132.8
max_avg_bet,4350,18.2,17.750833333333333,134.2
max_avg_bet,4400,18.2125,17.70416666666667,134.0
max_avg_bet,4450,18.25,17.843333333333334,134.4
max_avg_bet,4500,18.275,17.6825,134.6
max_avg_bet,4550,18.3375,17.905833333333334,135.2
max_avg_bet,4600,18.41875,17.842916666666664,135.5
max_avg_bet,4650,18.46875,17.962083333333332,136.4
max_avg_bet,4700,18.5375,18.1225,136.8
max_avg_bet,4750,18.5625,18.090833333333336,137.7
max_avg_bet,4800,18.6,18.324166666666667,138.5
max_avg_bet,4850,18.61875,18.242083333333333,138.5
max_avg_bet,4900,18.69375,18.548750000000002,139.4
max_avg_bet,4950,18.70625,18.50125,139.8
max_avg_bet,5000,18.7625,18.750833333333336,140.3
max_avg_bet,5050,18.83125,18.830416666666668,140.8
max_avg_bet,5100,18.91875,18.764583333333338,141.1
max_avg_bet,5150,19.075,18.953333333333333,143.0
max_avg_bet,5200,19.15625,19.267083333333332,143.8
max_avg_bet,5250,19.225,19.3475,145.1
