Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.6375,0.5558333333333334,6.0
100,3.6625,1.5966666666666665,21.0
150,5.45,1.9366666666666668,31.7
200,6.65625,1.6529166666666666,39.2
250,7.48125,1.55625,44.5
300,8.15,1.6133333333333333,48.0
350,8.60625,1.75625,50.0
400,9.0625,2.2250000000000005,53.9
450,9.43125,2.2437500000000004,56.9
500,9.93125,2.4962500000000003,59.6
550,10.2875,2.585833333333333,60.9
600,10.59375,2.8454166666666665,63.1
650,10.95,3.295833333333333,65.6
700,11.15625,3.5654166666666667,66.9
750,11.40625,3.850416666666667,68.7
800,11.5625,4.411666666666667,70.9
850,11.7125,4.6658333333333335,71.7
900,11.81875,4.842083333333333,72.1
950,11.90625,4.942916666666666,72.6
1000,11.99375,5.2387500000000005,73.3
1050,12.08125,5.392916666666667,73.6
1100,12.14375,5.462083333333334,73.3
1150,12.20625,5.399583333333334,72.9
1200,12.33125,5.58125,73.4
1250,12.4,5.546666666666668,73.9
1300,12.5,5.5325000000000015,74.7
1350,12.58125,5.439583333333332,74.9
1400,12.6875,5.408333333333332,75.8
1450,12.8125,5.405833333333333,76.2
1500,12.94375,5.504583333333334,77.5
1550,13.01875,5.557916666666666,77.6
1600,13.1125,5.625,78.1
1650,13.275,5.784166666666667,79.6
1700,13.35,6.091666666666668,80.0
1750,13.53125,6.1170833333333325,81.6
1800,13.65625,6.34625,83.0
1850,13.76875,6.3137500000000015,83.6
1900,13.875,6.451666666666666,84.5
1950,14.00625,6.88125,85.3
2000,14.15,7.229999999999999,85.9
2050,14.2875,7.3325,87.5
2100,14.3875,7.69,88.6
2150,14.4875,7.800833333333332,89.7
2200,14.59375,8.280416666666667,90.5
2250,14.675,8.608333333333333,91.5
2300,14.7125,8.746666666666666,92.1
2350,14.8125,8.724166666666667,93.1
2400,14.95,8.9725,94.0
2450,15.0375,9.29,94.7
2500,15.1,9.439166666666667,95.1
2550,15.16875,9.53625,95.8
2600,15.25625,9.810416666666663,97.0
2650,15.29375,9.584583333333333,97.4
2700,15.4,9.593333333333334,98.2
2750,15.45625,9.538750000000002,98.6
2800,15.55625,9.58875,99.1
2850,15.6625,9.602500000000003,99.9
2900,15.7375,9.800833333333333,100.5
2950,15.85625,9.81625,101.6
3000,15.95,9.885,102.3
3050,16.04375,9.792916666666667,103.5
3100,16.11875,9.797916666666666,104.4
3150,16.2,9.886666666666667,104.6
3200,16.2875,9.900833333333336,105.5
3250,16.3625,9.970833333333333,105.7
3300,16.48125,10.077083333333334,106.7
3350,16.5625,10.179166666666667,107.8
3400,16.6875,10.418333333333333,109.1
3450,16.775,10.353333333333332,110.5
3500,16.8,10.445,110.9
3550,16.9,10.5475,111.9
3600,16.975,10.785833333333333,113.0
3650,17.0375,10.929166666666667,113.6
3700,17.11875,11.281249999999998,114.7
3750,17.18125,11.726250000000002,115.1
3800,17.24375,11.861250000000002,115.4
3850,17.29375,11.92125,115.9
3900,17.4,11.833333333333332,117.3
3950,17.44375,11.580416666666668,118.2
4000,17.49375,11.819583333333332,118.3
4050,17.6,11.861666666666665,118.9
4100,17.6625,11.929166666666665,119.3
4150,17.7625,11.980833333333333,120.1
4200,17.8125,12.099166666666665,120.7
4250,17.85,12.385833333333332,121.7
4300,17.90625,12.342083333333335,122.2
4350,17.96875,12.462916666666667,122.6
4400,18.025,12.681666666666667,123.5
4450,18.08125,12.837083333333334,124.2
4500,18.1125,13.093333333333335,124.5
4550,18.1625,13.255833333333333,124.5
4600,18.2125,13.051666666666668,125.2
4650,18.25625,13.111250000000002,125.6
4700,18.30625,13.395416666666668,125.8
4750,18.3375,13.176666666666668,125.7
4800,18.40625,13.17125,126.5
4850,18.46875,13.189583333333335,126.3
