,,cc_mean,cc_var,wc
max_avg_bet,0,0.0,0.0,0.0
max_avg_bet,50,1.7,0.8,6.6
max_avg_bet,100,3.775,1.67,20.8
max_avg_bet,150,5.275,1.5008333333333335,30.2
max_avg_bet,200,6.49375,1.4095833333333334,39.1
max_avg_bet,250,7.34375,1.6837499999999999,44.4
max_avg_bet,300,8.0125,1.6300000000000001,48.6
max_avg_bet,350,8.54375,1.8237500000000004,52.1
max_avg_bet,400,9.025,2.1,56.1
max_avg_bet,450,9.475,2.466666666666667,58.4
max_avg_bet,500,10.0125,2.79,63.9
max_avg_bet,550,10.35625,2.827916666666667,66.5
max_avg_bet,600,10.79375,3.2729166666666663,70.5
max_avg_bet,650,11.225,3.8033333333333332,73.8
max_avg_bet,700,11.60625,4.480416666666667,76.3
max_avg_bet,750,11.9125,4.730833333333334,78.3
max_avg_bet,800,12.1625,5.064166666666667,80.1
max_avg_bet,850,12.375,5.2925,81.9
max_avg_bet,900,12.55,5.959999999999999,83.4
max_avg_bet,950,12.65625,6.106250000000001,82.8
max_avg_bet,1000,12.75,6.316666666666667,84.1
max_avg_bet,1050,12.85625,6.58875,85.2
max_avg_bet,1100,12.93125,6.7629166666666665,85.8
max_avg_bet,1150,12.9875,6.826666666666666,86.4
max_avg_bet,1200,13.06875,6.979583333333333,87.2
max_avg_bet,1250,13.13125,7.22625,87.6
max_avg_bet,1300,13.175,7.279999999999999,87.7
max_avg_bet,1350,13.275,7.515833333333333,87.6
max_avg_bet,1400,13.35625,7.6729166666666675,88.4
max_avg_bet,1450,13.38125,7.852916666666667,89.0
max_avg_bet,1500,13.43125,7.561250000000001,89.3
max_avg_bet,1550,13.55625,7.8379166666666675,91.1
max_avg_bet,1600,13.675,7.9174999999999995,92.4
max_avg_bet,1650,13.775,7.9208333333333325,93.4
max_avg_bet,1700,13.8625,8.025,94.2
max_avg_bet,1750,13.95625,8.069583333333332,94.3
max_avg_bet,1800,14.0625,8.521666666666668,95.6
max_avg_bet,1850,14.15,8.441666666666666,96.0
