Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,2.66875,3.909583333333334,9.0
100,4.175,3.9358333333333335,10.8
150,4.975,3.394166666666666,11.7
200,5.60625,3.3745833333333333,12.5
250,6.04375,3.5162500000000003,13.3
300,6.44375,3.8145833333333337,14.3
350,6.7875,4.395,15.9
400,7.1625,4.951666666666667,17.4
450,7.44375,5.450416666666667,18.3
500,7.66875,5.137083333333333,19.1
550,7.975,5.8308333333333335,20.6
600,8.18125,6.1554166666666665,21.5
650,8.36875,6.145416666666668,22.4
700,8.59375,6.183750000000002,23.5
750,8.81875,7.266249999999998,24.8
800,9.0625,8.317499999999999,27.0
850,9.2625,8.9,27.7
900,9.53125,10.014583333333334,28.8
950,9.69375,10.777916666666664,29.7
1000,9.94375,12.13125,30.8
1050,10.1125,12.5775,32.6
1100,10.28125,13.254583333333334,33.6
1150,10.5,14.314166666666665,34.9
1200,10.70625,15.055416666666668,35.5
1250,10.88125,15.887083333333333,36.8
1300,11.06875,16.902083333333334,38.0
1350,11.225,18.808333333333326,38.7
1400,11.475,19.656666666666666,40.3
1450,11.66875,20.24125,41.9
1500,11.90625,20.90625,42.8
1550,12.00625,21.753750000000004,43.5
1600,12.3125,22.71,45.2
1650,12.4875,23.137500000000006,46.8
1700,12.6625,23.83916666666667,47.9
1750,12.98125,26.002916666666664,50.0
1800,13.075,27.055,51.1
1850,13.225,27.15666666666666,52.0
1900,13.4375,26.945,53.8
1950,13.61875,28.09791666666667,54.9
2000,13.8625,28.2575,56.4
2050,14.06875,28.59291666666667,57.4
2100,14.25625,29.690416666666664,58.7
2150,14.39375,29.11708333333333,59.1
2200,14.5625,29.455,60.5
2250,14.75625,29.13291666666667,61.6
2300,14.975,31.82,62.6
2350,15.1375,31.953333333333337,64.0
2400,15.3125,32.74333333333333,65.3
2450,15.49375,32.46208333333333,66.5
2500,15.54375,31.97958333333333,67.7
2550,15.6,30.00000000000001,68.0
2600,15.74375,29.79708333333333,69.6
2650,15.91875,30.942083333333336,71.1
2700,16.10625,32.40541666666666,71.8
2750,16.16875,31.517083333333336,72.4
2800,16.36875,33.09458333333333,73.6
2850,16.5375,32.96833333333333,73.7
2900,16.65625,32.73875,74.2
2950,16.725,32.63416666666667,74.6
3000,16.93125,31.829583333333336,75.8
3050,17.025,31.3775,76.7
3100,17.15,31.419999999999995,77.6
3150,17.3,31.120000000000005,79.1
3200,17.43125,32.26708333333333,80.3
3250,17.56875,33.71875,81.7
3300,17.6625,33.9475,82.6
3350,17.76875,33.46041666666666,82.7
3400,17.96875,34.28041666666667,83.1
3450,18.0875,34.2925,83.9
3500,18.25625,34.40125,85.5
3550,18.4625,35.88,86.6
3600,18.6125,36.894166666666656,87.2
3650,18.73125,34.47541666666667,88.0
3700,18.9125,35.06833333333333,89.3
3750,19.0625,36.13166666666668,90.1
3800,19.225,36.4375,90.8
3850,19.35,36.99166666666667,91.7
3900,19.39375,35.95208333333333,92.4
3950,19.58125,37.18625,93.5
4000,19.7375,38.17083333333333,94.1
4050,19.79375,37.29041666666667,94.4
4100,19.9125,36.48833333333333,95.4
4150,20.03125,36.01375,95.7
4200,20.0625,35.7725,95.8
4250,20.1375,35.6475,96.4
4300,20.21875,35.60375,97.2
4350,20.3125,34.36333333333334,97.4
4400,20.4,34.49583333333333,97.7
4450,20.49375,35.017916666666665,98.6
4500,20.58125,32.64541666666666,99.5
4550,20.6625,31.920833333333334,99.6
4600,20.7875,33.57583333333333,100.7
4650,20.9,33.025,101.6
4700,21.01875,33.21708333333333,101.9
4750,21.16875,34.58958333333333,103.1
4800,21.2875,34.7125,104.4
4850,21.35,35.135,105.1
4900,21.45625,34.864583333333336,105.8
4950,21.46875,35.07541666666667,105.8
5000,21.58125,36.89375,106.9
5050,21.6375,36.3875,108.0
5100,21.7375,35.03416666666667,108.7
5150,21.74375,34.41958333333333,108.2
5200,21.85625,34.71124999999999,109.2
5250,21.91875,34.96958333333333,109.4
5300,21.9625,34.510000000000005,108.9
5350,22.0125,35.35333333333333,109.4
5400,22.04375,35.617916666666666,110.2
5450,22.175,37.6725,111.8
5500,22.1875,37.11333333333333,112.4
5550,22.21875,36.03125,112.3
5600,22.29375,37.37041666666666,112.9
5650,22.36875,37.45458333333333,113.1
5700,22.40625,36.965416666666655,113.4
5750,22.4625,37.59583333333333,113.0
5800,22.425,36.71416666666666,113.1
5850,22.50625,36.60958333333333,112.8
5900,22.5,34.276666666666664,113.4
5950,22.55625,34.50875,114.5
6000,22.63125,35.64708333333333,115.4
6050,22.68125,36.53791666666667,115.9
6100,22.675,35.621666666666655,115.8
6150,22.6375,35.41666666666667,115.8
6200,22.675,35.80333333333333,116.1
6250,22.68125,35.51541666666667,116.5
6300,22.7125,35.92833333333333,117.1
6350,22.74375,35.78125000000001,117.4
6400,22.75,36.04333333333333,117.7
6450,22.775,35.3475,117.5
