Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.625,1.4450000000000005,7.2
100,2.9375,4.303333333333334,21.2
150,4.34375,5.3012500000000005,36.6
200,5.45625,7.997083333333333,47.4
250,6.3,9.181666666666667,56.6
300,6.9625,9.180833333333332,63.6
350,7.4,7.972500000000001,69.3
400,7.71875,6.572916666666668,74.4
450,7.975,6.299166666666666,77.7
500,8.20625,5.38875,79.9
550,8.40625,4.8029166666666665,82.0
600,8.55625,4.017916666666666,83.9
650,8.6375,3.231666666666667,85.0
700,8.8,3.2191666666666667,87.5
750,8.91875,2.987083333333333,89.7
800,8.975,2.8833333333333333,90.9
850,9.0625,2.748333333333333,92.5
900,9.11875,2.697083333333333,93.6
950,9.1875,2.9108333333333336,94.4
1000,9.23125,2.929583333333333,94.8
1050,9.25,2.6625,95.6
1100,9.23125,2.4579166666666667,96.6
1150,9.2875,2.584166666666667,96.8
1200,9.29375,2.33625,97.0
1250,9.325,2.2783333333333333,97.2
1300,9.36875,2.2445833333333334,97.6
1350,9.45625,2.40125,98.3
1400,9.49375,2.4795833333333333,98.3
1450,9.56875,2.704583333333334,99.3
1500,9.7,3.325833333333333,100.5
1550,9.8125,3.9733333333333336,102.1
1600,9.825,3.5016666666666665,102.7
1650,9.88125,3.580416666666667,103.3
1700,9.89375,3.5204166666666667,103.6
1750,9.86875,3.537083333333334,103.2
1800,9.925,3.4625,104.2
1850,10.01875,3.8354166666666667,104.9
1900,10.06875,3.5062500000000005,104.9
1950,10.11875,3.27125,105.5
2000,10.2,3.0424999999999995,106.1
2050,10.225,2.9799999999999995,106.9
2100,10.3,3.125833333333333,107.3
2150,10.3875,3.3391666666666664,108.4
2200,10.4875,3.5175,109.0
2250,10.525,3.5508333333333324,109.2
2300,10.58125,3.5137500000000004,109.3
2350,10.61875,3.50625,109.9
2400,10.63125,3.2579166666666666,110.3
2450,10.6625,3.453333333333333,110.8
2500,10.7125,3.418333333333333,111.8
2550,10.75625,3.4604166666666663,112.4
2600,10.78125,3.4137500000000003,112.4
2650,10.79375,3.3329166666666667,113.1
2700,10.825,3.2075000000000005,113.4
2750,10.90625,3.33375,114.0
2800,10.9625,3.4099999999999997,114.2
2850,10.98125,3.27875,114.6
2900,10.99375,3.117083333333333,114.6
2950,11.03125,3.159583333333333,115.1
3000,11.08125,3.2070833333333333,115.7
3050,11.10625,3.25875,115.9
3100,11.175,3.328333333333333,116.6
3150,11.2625,3.5625,117.0
3200,11.2625,3.4191666666666665,116.6
3250,11.29375,3.613750000000001,116.8
3300,11.34375,3.590416666666666,117.2
3350,11.375,3.7041666666666666,117.4
3400,11.48125,4.230416666666667,118.7
3450,11.4625,3.8083333333333336,118.7
3500,11.46875,3.7937499999999993,119.0
3550,11.55625,4.227083333333334,119.8
3600,11.53125,4.0237500000000015,119.2
3650,11.51875,3.724583333333333,119.1
3700,11.625,3.745,120.6
3750,11.63125,3.6520833333333336,120.7
3800,11.6625,3.790833333333333,121.3
3850,11.7,3.7575,122.2
3900,11.70625,3.80625,122.6
3950,11.75625,3.669583333333333,122.8
4000,11.79375,3.8229166666666665,123.4
4050,11.79375,3.8729166666666655,123.6
4100,11.875,3.965,124.4
4150,11.8875,3.961666666666667,124.5
4200,11.925,3.9358333333333335,124.7
4250,12.01875,4.117916666666667,125.5
4300,12.06875,4.04125,125.9
4350,12.1,3.920833333333333,126.0
4400,12.13125,4.1120833333333335,126.4
4450,12.1875,4.1325,127.0
4500,12.23125,4.20625,127.1
4550,12.26875,4.4987499999999985,127.4
4600,12.33125,4.619583333333333,127.6
4650,12.4,4.644166666666666,128.6
4700,12.4125,4.9475,129.2
4750,12.40625,4.69375,129.0
4800,12.4,4.7941666666666665,129.3
4850,12.48125,4.869583333333333,130.8
4900,12.5,5.1575,131.3
4950,12.53125,5.184583333333333,131.4
5000,12.625,5.17,132.7
5050,12.68125,5.207916666666667,133.5
5100,12.7,5.216666666666667,133.4
5150,12.7625,5.244166666666667,134.0
5200,12.83125,5.2487499999999985,134.8
5250,12.875,5.498333333333332,135.6
5300,12.95,5.558333333333334,136.5
5350,12.91875,5.287916666666666,136.3
5400,12.975,5.351666666666667,137.3
5450,13.00625,5.489583333333334,137.5
5500,13.04375,5.3254166666666665,137.9
5550,13.09375,5.265416666666667,138.4
5600,13.13125,5.3879166666666665,138.5
5650,13.2125,5.3583333333333325,139.3
5700,13.24375,5.267083333333334,139.4
5750,13.29375,5.4037500000000005,140.2
5800,13.325,5.4525,140.3
5850,13.3375,5.4175,140.3
5900,13.3875,5.4783333333333335,140.7
5950,13.4375,5.589166666666666,141.4
6000,13.46875,5.569583333333332,141.7
6050,13.50625,5.64625,142.4
6100,13.55,5.61,142.8
6150,13.625,5.753333333333333,143.4
6200,13.69375,5.691250000000001,144.2
6250,13.74375,5.902083333333334,144.6
6300,13.75,5.830833333333333,144.6
6350,13.79375,6.088749999999999,145.0
6400,13.83125,6.24625,145.3
6450,13.8375,6.4316666666666675,145.0
6500,13.8875,6.594999999999999,146.0
6550,13.925,6.6033333333333335,146.9
6600,13.9625,6.461666666666666,147.2
6650,14.0125,6.6658333333333335,147.7
6700,14.025,6.685833333333332,148.1
6750,14.0625,6.75,148.9
6800,14.11875,6.7662499999999985,149.4
6850,14.125,6.694166666666666,149.6
6900,14.175,6.683333333333333,150.1
6950,14.2,6.618333333333334,150.3
7000,14.21875,6.777083333333335,150.3
7050,14.3,6.825833333333334,150.7
7100,14.325,6.876666666666668,151.4
7150,14.38125,6.922916666666668,151.8
7200,14.43125,6.952916666666668,152.5
7250,14.46875,7.187083333333334,153.0
7300,14.475,7.236666666666666,153.1
7350,14.53125,7.329583333333334,154.1
7400,14.61875,7.197916666666668,155.0
7450,14.675,7.313333333333333,155.4
7500,14.7125,7.269166666666666,155.4
7550,14.71875,7.3112499999999985,155.2
7600,14.7375,7.486666666666666,155.4
7650,14.8125,7.458333333333332,156.3
7700,14.825,7.608333333333332,156.5
7750,14.84375,7.77625,156.8
7800,14.88125,7.78625,156.9
7850,14.9375,7.918333333333334,157.4
7900,14.9625,7.940833333333333,157.4
7950,15.0375,7.8758333333333335,158.0
8000,15.075,8.206666666666667,158.7
8050,15.125,8.239166666666668,159.3
8100,15.19375,8.307916666666667,160.1
8150,15.225,8.455833333333334,160.7
8200,15.275,8.268333333333333,161.3
8250,15.25625,8.350416666666666,161.1
8300,15.30625,8.700416666666666,161.1
8350,15.36875,8.879583333333333,161.3
8400,15.41875,8.835416666666667,161.9
8450,15.53125,8.68625,163.0
8500,15.56875,8.883750000000003,163.7
8550,15.58125,8.98875,164.1
8600,15.6,9.260833333333332,164.3
8650,15.65625,9.300416666666667,164.9
8700,15.75,9.234166666666667,165.6
8750,15.7875,9.136666666666667,166.1
8800,15.83125,9.199583333333333,166.6
8850,15.86875,9.169583333333334,167.1
8900,15.86875,9.307916666666667,167.4
8950,15.89375,9.444583333333332,167.8
9000,15.94375,9.767083333333334,168.2
9050,16.01875,10.020416666666668,168.8
9100,16.04375,10.069583333333334,169.1
9150,16.0625,10.320833333333333,169.2
9200,16.075,10.57,169.3
9250,16.14375,10.717916666666667,170.2
9300,16.15,10.899166666666664,170.5
9350,16.175,10.8025,170.7
9400,16.19375,11.144583333333333,171.2
9450,16.20625,11.470416666666667,170.9
9500,16.26875,11.352916666666667,171.4
9550,16.36875,11.14875,172.1
9600,16.4125,11.066666666666665,172.5
9650,16.4625,11.064166666666667,173.0
9700,16.5125,11.178333333333333,173.4
9750,16.55,11.305,173.6
9800,16.56875,11.740416666666665,174.0
9850,16.625,11.6025,174.3
9900,16.675,11.47,175.2
9950,16.7125,11.6425,175.9
10000,16.78125,12.024583333333332,176.9
10050,16.95,11.879166666666665,177.0
10100,17.05625,12.064583333333335,176.6
10150,17.15625,12.292083333333334,175.9
10200,17.2625,12.8325,175.8
10250,17.34375,12.82375,174.8
10300,17.4625,13.216666666666665,174.9
10350,17.56875,13.427083333333332,174.7
10400,17.66875,14.05125,174.8
10450,17.8125,14.595833333333335,174.4
10500,17.88125,15.14958333333333,174.0
10550,17.91875,15.28791666666667,172.6
10600,18.00625,15.694583333333336,172.5
10650,18.09375,16.21125,171.8
10700,18.15,17.006666666666668,170.8
10750,18.2375,17.763333333333332,170.8
10800,18.29375,18.31458333333333,170.1
10850,18.4875,19.1125,170.7
10900,18.5625,19.155833333333334,170.5
10950,18.65,19.086666666666666,170.7
11000,18.7,19.571666666666665,169.7
11050,18.8,20.161666666666672,169.2
11100,18.88125,19.95625,168.4
11150,19.00625,20.42125,169.3
11200,19.025,20.468333333333334,168.6
11250,19.1125,21.044166666666666,168.5
11300,19.1875,21.4775,167.8
11350,19.30625,21.715416666666666,167.8
11400,19.35625,22.35541666666667,166.9
11450,19.44375,22.892916666666668,166.5
11500,19.55625,23.02125,166.6
11550,19.63125,22.78125,166.8
11600,19.70625,23.545416666666664,167.1
11650,19.775,23.63583333333333,167.9
11700,19.825,23.73333333333333,167.2
11750,19.84375,23.81458333333333,166.7
11800,19.94375,23.37375,167.1
11850,20.025,23.83,167.5
11900,20.1,23.755000000000006,167.3
11950,20.2,23.701666666666664,166.7
