Iteration,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.12270833333333127,0.05555115740740914,0.00288194444444375,0.0003126929012344229,0.0015873015873000002,0.00019148400100742758,0.10095486111109372,0.019527130771275842
100,0.343077372994625,0.06915357243318905,0.01391633182993125,0.0010681806910762847,0.012208140989346876,0.0008837560676061377,0.35257526327833755,0.029582224446741894
150,0.4923900318431381,0.04709254147161049,0.033436536164673764,0.0018813837320808228,0.023670332956988126,0.0012184447189086676,0.5388443193487749,0.010964158084267057
200,0.5859156708015189,0.03426536395326159,0.05398250528156751,0.002304479207651233,0.049995411175641866,0.0020160162429888216,0.6388288572411124,0.006119059393735794
250,0.6546904315937562,0.0234515624893219,0.07393943293411062,0.002198915594935238,0.06942964483863373,0.0023980782454840377,0.7018534233219251,0.004239005220070377
300,0.6996572261320999,0.01793785174237611,0.098986649064215,0.0022340486710853624,0.09033967775728688,0.002904670794737296,0.7435487653838876,0.002656655973573585
350,0.7388679781883938,0.01340853900641451,0.1143670999242625,0.0022905955324597697,0.10269122702082,0.0025961883326496857,0.7736950354478375,0.002072065145788133
400,0.7670447971972875,0.0102060523353483,0.13614220828362872,0.002678565585842841,0.12748243319082314,0.0028499691133090114,0.7994668854013063,0.001510756113930967
450,0.7911167643668249,0.008423563099475947,0.16491162255309874,0.003392248359824785,0.1555035371989056,0.003494351640233988,0.8219566700299937,0.0017293843455011171
500,0.8099738154345999,0.007012457048503057,0.19532454648526,0.003829459065410161,0.1866602016693188,0.003808453043638517,0.8517829320374499,0.002658546012766732
550,0.8257095531498562,0.005736531812938471,0.223875,0.004558166666666665,0.216375,0.004310166666666669,0.8923173618512937,0.0029916117455916808
600,0.8407640907060063,0.004524799052519743,0.247875,0.005037833333333339,0.240375,0.004508166666666665,0.9257482231811248,0.002144690267023605
650,0.8551687621552688,0.003966407801645045,0.271625,0.004894166666666664,0.26325000000000004,0.004420666666666665,0.9468941710992876,0.001321229017734389
700,0.8680500004275686,0.0036540529333045297,0.28700000000000003,0.0047750000000000075,0.281625,0.00484216666666667,0.9596250000000002,0.0007708333333333072
750,0.884494512700775,0.0035772394266340977,0.308875,0.005013166666666657,0.305125,0.005070833333333337,0.966625,0.000647833333333357
800,0.9024305497663812,0.003666827402603611,0.326375,0.005885166666666671,0.325125,0.005595166666666663,0.9718749999999998,0.0005215000000000222
850,0.9180950063078124,0.0034419753175140267,0.342125,0.005869166666666668,0.337,0.005284666666666675,0.9748749999999996,0.0004908333333333203
900,0.9350252721556,0.0025661672783716108,0.35962500000000003,0.005897166666666663,0.352875,0.005762500000000006,0.975875,0.0005414999999999874
950,0.9494758291746,0.0021126484643683107,0.3806250000000001,0.005950166666666646,0.368,0.006007333333333332,0.977125,0.0006038333333333648
1000,0.9611462149173,0.0014194334440220282,0.39799999999999996,0.006455666666666667,0.3895000000000001,0.006162666666666669,0.977625,0.0006481666666665949
1050,0.9682260638297876,0.0009627370605100321,0.413125,0.00678083333333335,0.402125,0.00631249999999999,0.977375,0.0007248333333333434
1100,0.972125,0.0008348333333333593,0.42575,0.0063266666666666705,0.409875,0.006558833333333338,0.976875,0.0008524999999999968
1150,0.976375,0.0006711666666665767,0.4403750000000001,0.00570716666666667,0.415625,0.006099833333333335,0.976625,0.0009311666666666576
1200,0.978375,0.0005988333333333054,0.4483750000000001,0.006116500000000002,0.429625,0.006426500000000003,0.976,0.0010160000000000128
1250,0.978875,0.0005724999999999508,0.457875,0.006188166666666666,0.439375,0.006745833333333338,0.975375,0.0011058333333333556
1300,0.979125,0.000600499999999992,0.46425,0.006454333333333342,0.445,0.006258000000000002,0.97375,0.001152333333333336
1350,0.978125,0.0006081666666667,0.4733750000000001,0.006875833333333343,0.455,0.006141333333333332,0.9725,0.0011020000000000133
1400,0.9775,0.0006863333333333089,0.4828750000000001,0.006935833333333345,0.4676250000000001,0.00572750000000001,0.972625,0.0009708333333333504
1450,0.977625,0.0006615000000000156,0.491375,0.00682783333333334,0.4727500000000001,0.006062666666666654,0.9735,0.0008696666666666769
1500,0.9773749999999998,0.0007178333333333122,0.49975,0.006888666666666672,0.4835000000000001,0.006059333333333325,0.972625,0.0009245000000000184
1550,0.976625,0.0007471666666666366,0.5036250000000001,0.006573499999999966,0.4928749999999999,0.006898833333333332,0.971375,0.0009551666666666373
1600,0.975375,0.0008514999999999755,0.508625,0.007172499999999997,0.493125,0.006731833333333303,0.972125,0.001015166666666699
1650,0.97475,0.0008520000000000157,0.5153749999999999,0.007171499999999998,0.50075,0.007038333333333351,0.972875,0.0009595000000000316
1700,0.975125,0.0008828333333333422,0.523375,0.0070911666666666545,0.5094999999999998,0.007113333333333338,0.97275,0.0009316666666666624
1750,0.973875,0.0009604999999999703,0.53,0.006875333333333353,0.5119999999999999,0.007222000000000008,0.97325,0.0008943333333333096
1800,0.974625,0.0009844999999999854,0.5271250000000001,0.006698499999999985,0.5166250000000001,0.006345166666666682,0.973125,0.0008905000000000029
1850,0.9745,0.0009736666666666594,0.53325,0.007064666666666633,0.523,0.007519666666666658,0.973,0.0008813333333332926
1900,0.9755,0.0009870000000000206,0.531375,0.006664833333333309,0.5266249999999999,0.0075365000000000345,0.97375,0.0007953333333333389
1950,0.9748750000000002,0.0009928333333333347,0.534875,0.006357166666666662,0.5276250000000001,0.006498499999999984,0.9738749999999998,0.0007938333333333957
2000,0.975,0.0010540000000000423,0.541625,0.0070434999999999795,0.534,0.006425333333333325,0.9745,0.000761000000000062
2050,0.974875,0.0010205000000000435,0.5389999999999999,0.0065506666666666855,0.539,0.006495999999999999,0.9745,0.000663000000000018
2100,0.974125,0.0010815000000000431,0.542125,0.006867500000000008,0.5451250000000001,0.0067188333333333145,0.9735,0.0006833333333333395
2150,0.97325,0.001062333333333392,0.54725,0.0064459999999999995,0.545875,0.006956166666666682,0.973375,0.0007285000000000371
2200,0.97425,0.0011216666666666695,0.5565,0.006121666666666651,0.5489999999999999,0.007373000000000006,0.973375,0.0008071666666666981
2250,0.975125,0.0010241666666666422,0.56125,0.006488000000000022,0.5487500000000001,0.006437666666666657,0.9740000000000001,0.0008210000000000287
2300,0.975375,0.0010191666666666778,0.5618749999999999,0.006666166666666686,0.5487499999999998,0.006762333333333341,0.9748750000000002,0.0007511666666666628
2350,0.975625,0.0009088333333333289,0.5605,0.007412999999999991,0.553625,0.006845499999999992,0.9750000000000002,0.000730333333333301
2400,0.975875,0.0008885000000000078,0.567125,0.0076335000000000205,0.555,0.007259333333333323,0.975,0.000723000000000044
2450,0.976625,0.0008148333333333112,0.5680000000000001,0.007955333333333325,0.56025,0.007083333333333353,0.9755,0.0007550000000000168
2500,0.976875,0.0007891666666666807,0.5692499999999999,0.007446666666666678,0.5583750000000001,0.006980833333333318,0.97575,0.0007679999999999392
2550,0.9759999999999998,0.0007943333333333058,0.5663750000000001,0.007275166666666675,0.55725,0.007201666666666664,0.97525,0.0007073333333333072
2600,0.97675,0.0008186666666666418,0.5697500000000001,0.007250666666666685,0.560125,0.006598833333333313,0.975375,0.0006668333333333009
