Iteration,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.13102678571425624,0.06020128732047295,0.005464015151515,0.0006407440354727954,0.0,0.0,0.10015873015870624,0.020211145754585803
100,0.3276894459706757,0.05867391801495045,0.028484773605946256,0.0020232679100535087,0.0065353830197568755,0.0004958491537908746,0.3590653964090437,0.02378068964614992
150,0.4966381322764506,0.0358952420043643,0.07055705484641125,0.003470185268863376,0.018831137213876883,0.001044343903503151,0.5261854323222626,0.010722040616802759
200,0.5982744316711313,0.027959958525479108,0.102988654676715,0.00470506901707937,0.031474835608705,0.001259080134134591,0.6214591010102499,0.007120261795138911
250,0.6633475981139438,0.020873013845808662,0.1311730786487375,0.004103339526574304,0.04445931418087125,0.0014203171789664226,0.6910624361178499,0.004713661189993979
300,0.7097587854909188,0.015658585558266092,0.1613565734421125,0.0041712303810354226,0.055931734692770615,0.0014226661798039215,0.7361105504998313,0.003038325223683932
350,0.7437170408865874,0.012946757360850837,0.19107883405596124,0.004753441633261453,0.06571956518885187,0.0012948114515188016,0.7658280999052939,0.002555900550026612
400,0.7732009378707374,0.010247810515307085,0.2263731428586838,0.0053533313316891295,0.08074999975681436,0.0016111469920376989,0.7919873213054187,0.001726210833649162
450,0.7945130949161812,0.008728936119879656,0.2665273802371119,0.006284352159019574,0.09632370033683564,0.0018176890917633696,0.8146862821709938,0.0016943100478151267
500,0.8127437347699376,0.007391137222074834,0.316255121608075,0.00682431562302329,0.118544300470065,0.0024637318354372856,0.8362200943151751,0.001965509327676074
550,0.8274162768486686,0.006198993512108994,0.35125,0.006659666666666664,0.141,0.0029140000000000004,0.8661611703852061,0.002828321549448702
600,0.8407421252844813,0.005298468356577691,0.386125,0.005842833333333351,0.16199999999999998,0.0032986666666666663,0.8974605461662625,0.003304926139703213
650,0.8539852553374375,0.004636246008195831,0.417875,0.006624500000000015,0.17625,0.004117666666666667,0.9279399438581312,0.002804854801971312
700,0.8692174897515998,0.0042845482041651535,0.44175,0.006653666666666659,0.18687500000000004,0.003879833333333335,0.94953259601135,0.0016840351713448836
750,0.8862307323842499,0.00404195485216397,0.465375,0.005982500000000003,0.201625,0.004187166666666668,0.9635131987577686,0.0010942239689815737
800,0.9043845484035812,0.003983176230064665,0.48225,0.006217999999999992,0.216375,0.0044305,0.971,0.0006549999999999537
850,0.9236879882219624,0.0037203571508619146,0.4988750000000001,0.006169833333333303,0.22475,0.004801,0.976625,0.0005058333333333209
900,0.9392477717392688,0.003127340544601604,0.5118750000000001,0.006098833333333342,0.235,0.004756666666666663,0.97925,0.00046066666666661133
950,0.9517532140045376,0.002590255637651649,0.522875,0.007508499999999975,0.24600000000000002,0.0042633333333333325,0.981375,0.0004474999999999459
1000,0.964710373405725,0.0018354851039122625,0.5432499999999999,0.006622666666666702,0.259875,0.004345166666666678,0.9825,0.00043600000000002594
1050,0.9709190910406688,0.0014335640223854425,0.5565,0.007227999999999977,0.26987500000000003,0.004817500000000007,0.98225,0.0004909999999999925
1100,0.9744903756957312,0.00107766200650475,0.564875,0.0074534999999999576,0.27737500000000004,0.0044341666666666635,0.98225,0.0005876666666666233
1150,0.9774903756957312,0.0009911889081745666,0.577875,0.007593166666666662,0.28374999999999995,0.004431666666666674,0.981375,0.0007441666666666317
1200,0.9772989130434812,0.0009575277252670844,0.5872499999999999,0.006503666666666674,0.28800000000000003,0.004821333333333332,0.98075,0.0007856666666666592
1250,0.9779821428571438,0.0009450510204080114,0.59775,0.0069283333333333506,0.29812500000000003,0.004770166666666661,0.98,0.000873000000000026
1300,0.979625,0.0008255000000000479,0.6038749999999999,0.0061421666666667,0.30449999999999994,0.0050733333333333455,0.97875,0.000917333333333327
1350,0.979375,0.0007871666666666973,0.6123750000000001,0.006238166666666629,0.30650000000000005,0.005236333333333336,0.978375,0.0008858333333333234
1400,0.978625,0.0008578333333333176,0.6170000000000001,0.0061133333333333074,0.3095,0.005274666666666671,0.978375,0.0008568333333332963
