Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,2.23125,2.61625,8.2
100,3.75,3.707500000000001,15.3
150,4.86875,3.492083333333333,20.1
200,5.5375,3.4008333333333334,24.8
250,6.15,2.935833333333333,28.2
300,6.725,3.395833333333333,32.1
350,7.21875,4.22125,36.5
400,7.7125,5.3175,39.9
450,8.0375,5.905833333333334,42.1
500,8.3125,5.998333333333334,43.9
550,8.66875,6.3762500000000015,46.2
600,8.98125,6.964583333333335,48.4
650,9.25,7.209166666666666,50.7
700,9.48125,7.61375,52.5
750,9.65,7.7650000000000015,53.1
800,9.84375,7.960416666666667,54.2
850,10.08125,8.757916666666668,56.3
900,10.35,9.130833333333333,57.6
950,10.5375,9.8475,58.9
1000,10.7,9.963333333333336,60.0
1050,10.925,10.59,62.8
1100,11.05625,9.650416666666667,64.1
1150,11.21875,9.790416666666667,65.9
1200,11.425,10.318333333333333,67.5
1250,11.5625,10.786666666666667,68.8
1300,11.6875,10.9125,69.8
1350,11.83125,10.807916666666667,72.0
1400,11.9375,11.0225,72.8
1450,12.0,10.913333333333332,72.5
1500,12.03125,9.787916666666668,72.8
1550,12.1375,9.54,73.9
1600,12.19375,9.252916666666668,74.1
1650,12.21875,9.15875,74.5
1700,12.30625,9.19625,75.5
1750,12.375,9.729166666666668,76.4
1800,12.4625,9.818333333333333,77.4
1850,12.48125,9.562916666666666,77.2
1900,12.5,8.8475,77.4
1950,12.53125,8.784583333333334,78.0
2000,12.59375,9.235416666666666,78.7
2050,12.63125,9.01125,79.2
2100,12.6875,9.150833333333333,79.6
2150,12.75625,9.422083333333333,80.2
2200,12.7875,9.795833333333333,80.1
2250,12.79375,9.820416666666663,80.3
2300,12.825,10.114166666666666,80.4
2350,12.8875,10.414999999999996,80.8
2400,12.99375,11.50875,82.2
2450,13.05,11.924166666666668,83.0
2500,13.1125,11.758333333333335,83.3
2550,13.1625,12.0175,83.3
2600,13.16875,11.805416666666664,82.9
2650,13.2,11.338333333333333,82.9
2700,13.225,11.056666666666667,83.4
2750,13.25625,10.92875,83.8
2800,13.275,10.830000000000002,83.8
2850,13.2875,10.399166666666666,83.8
2900,13.35625,10.70375,84.0
2950,13.375,10.27,84.1
3000,13.45625,10.93125,84.6
3050,13.48125,10.91375,85.1
3100,13.5375,11.315833333333332,85.7
3150,13.6125,11.624166666666666,86.7
3200,13.6375,11.212500000000002,86.6
3250,13.70625,11.40375,87.1
3300,13.7125,11.677499999999998,86.4
3350,13.7375,11.6225,86.4
3400,13.85625,12.459583333333333,87.8
3450,13.89375,12.335416666666667,87.8
3500,13.95625,12.425416666666667,88.6
3550,14.03125,13.08875,89.7
3600,14.10625,13.249583333333335,90.3
3650,14.15625,13.262083333333333,90.9
3700,14.225,13.533333333333333,91.1
3750,14.2625,13.883333333333333,91.2
3800,14.29375,13.782916666666665,91.1
3850,14.30625,13.622916666666665,91.2
3900,14.31875,12.658749999999998,91.4
3950,14.39375,13.097916666666665,92.1
4000,14.48125,13.294583333333332,92.8
4050,14.4875,13.255833333333333,93.1
4100,14.5625,13.978333333333332,94.2
4150,14.675,15.2375,95.0
4200,14.7375,16.154999999999998,95.4
4250,14.79375,16.64875,96.1
4300,14.81875,15.98375,96.1
4350,14.86875,15.957083333333333,96.9
4400,14.8875,15.3,96.8
4450,14.95625,15.530416666666667,97.7
4500,15.01875,15.87875,98.3
4550,15.04375,15.565416666666668,99.0
4600,15.05625,14.732083333333332,99.1
4650,15.10625,14.642083333333336,98.8
4700,15.16875,14.54375,99.1
4750,15.20625,14.64125,99.6
4800,15.19375,14.18625,99.5
4850,15.2,14.394166666666667,99.0
4900,15.2375,14.57833333333333,99.6
4950,15.29375,14.376250000000002,100.6
5000,15.36875,15.532083333333333,101.3
5050,15.3875,15.430833333333334,101.7
5100,15.3625,15.238333333333333,101.1
5150,15.48125,15.22375,102.0
5200,15.51875,15.18708333333333,102.4
5250,15.60625,15.959583333333333,103.0
5300,15.6875,16.919166666666666,103.9
5350,15.75,16.395,104.3
5400,15.79375,16.42125,104.6
5450,15.81875,15.966250000000002,104.5
5500,15.84375,15.585416666666665,104.5
5550,15.88125,16.585416666666667,105.3
5600,15.93125,16.223750000000006,106.1
5650,15.9875,16.855833333333333,106.6
5700,16.025,16.71,106.6
5750,16.0625,15.631666666666666,107.3
5800,16.09375,15.26125,107.9
5850,16.14375,15.334583333333333,108.3
5900,16.19375,15.842083333333335,109.1
5950,16.24375,15.58125,108.8
6000,16.28125,15.964583333333335,109.5
6050,16.30625,16.22125,109.6
6100,16.3875,16.448333333333334,110.1
6150,16.45625,16.99125,110.9
6200,16.4625,15.637500000000005,110.9
6250,16.53125,16.344583333333333,112.1
6300,16.56875,17.161250000000006,112.4
6350,16.60625,17.62375,112.8
6400,16.675,17.865000000000006,113.6
6450,16.75,19.235000000000007,115.2
6500,16.78125,19.72458333333333,116.2
6550,16.86875,20.745416666666664,116.7
6600,16.85625,19.204583333333336,116.4
6650,16.89375,19.447916666666664,116.2
6700,16.93125,19.140416666666667,116.7
6750,17.0125,19.543333333333337,117.6
6800,17.09375,21.26708333333333,118.9
6850,17.09375,20.729583333333334,118.8
6900,17.1125,20.63916666666667,118.8
6950,17.13125,19.952916666666663,119.1
7000,17.15625,19.10708333333333,118.9
7050,17.1875,19.04,119.0
7100,17.19375,17.691249999999997,119.2
7150,17.24375,18.442916666666665,119.8
7200,17.30625,19.137083333333333,120.6
7250,17.3875,19.563333333333333,121.1
7300,17.45625,20.24708333333333,122.1
7350,17.4625,20.18,122.3
7400,17.45,19.304166666666667,121.6
7450,17.45625,19.400416666666665,122.2
7500,17.5375,20.238333333333333,122.8
7550,17.55,19.6725,122.9
7600,17.5625,19.329166666666666,122.8
7650,17.59375,19.23625,123.2
7700,17.64375,19.07625,123.6
7750,17.66875,19.947083333333328,123.9
7800,17.6625,19.316666666666666,124.1
7850,17.66875,18.280416666666664,124.3
7900,17.7,18.600833333333334,124.8
7950,17.6875,17.875833333333333,124.6
8000,17.6875,17.440833333333334,124.6
8050,17.75625,18.27375,125.6
8100,17.775,17.998333333333328,125.6
8150,17.79375,18.02875,125.7
8200,17.825,18.039166666666667,126.2
8250,17.81875,17.742083333333333,126.2
8300,17.85625,18.12375,126.8
8350,17.93125,18.98375,127.8
8400,17.9625,18.67,128.0
8450,18.0375,19.119166666666672,129.3
8500,18.05625,19.32625,129.7
8550,18.075,19.091666666666665,130.3
8600,18.1,19.19333333333333,130.4
8650,18.1375,19.816666666666666,130.5
8700,18.18125,20.036250000000006,131.2
8750,18.23125,20.302916666666672,131.2
8800,18.29375,20.852916666666665,131.6
8850,18.25625,19.64125,131.0
8900,18.25625,20.302916666666672,131.2
8950,18.25625,19.888749999999995,131.2
9000,18.25,19.16833333333333,131.2
9050,18.2625,18.4925,131.1
