Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,2.70625,4.332916666666667,9.3
100,4.225,4.161666666666666,10.9
150,5.275,3.7925,11.9
200,5.85625,3.2770833333333336,12.8
250,6.3,3.0983333333333336,13.3
300,6.60625,3.4204166666666667,14.4
350,6.9125,3.3275,15.3
400,7.2,3.7541666666666655,16.6
450,7.44375,3.8745833333333337,17.2
500,7.7,4.447500000000002,18.3
550,7.9375,5.071666666666666,19.2
600,8.21875,5.5254166666666675,20.6
650,8.45,6.0041666666666655,22.0
700,8.625,6.6425,23.5
750,8.78125,6.787916666666666,24.3
800,8.95,6.973333333333334,25.2
850,9.175,6.948333333333332,26.4
900,9.29375,7.9612500000000015,26.9
950,9.4625,8.523333333333332,28.2
1000,9.66875,9.334583333333333,29.7
1050,9.9125,9.764166666666666,30.6
1100,10.15,11.031666666666665,31.7
1150,10.45,11.103333333333335,32.9
1200,10.59375,11.837916666666667,33.6
1250,10.76875,12.572083333333335,34.7
1300,10.99375,12.957916666666666,36.0
1350,11.2625,12.860833333333332,36.6
1400,11.41875,12.969583333333333,36.9
1450,11.6,13.342499999999998,37.7
1500,11.725,13.716666666666665,38.1
1550,11.875,13.5275,38.8
1600,12.01875,13.940416666666668,39.4
1650,12.15,14.3725,39.9
1700,12.3,14.524166666666668,40.8
1750,12.5125,15.330833333333334,41.6
1800,12.625,15.803333333333333,42.6
1850,12.73125,15.982083333333332,42.9
1900,12.8875,16.07,44.3
1950,13.01875,16.532083333333333,44.8
2000,13.125,16.2625,45.4
2050,13.2625,16.729166666666664,46.1
2100,13.325,16.48083333333333,47.1
2150,13.4375,16.82916666666667,47.6
2200,13.5125,17.024166666666666,48.6
2250,13.64375,17.02958333333333,49.1
2300,13.725,17.077500000000004,49.4
2350,13.88125,17.364583333333336,51.3
2400,14.0,17.555833333333332,51.8
2450,14.05,17.836666666666666,52.0
2500,14.16875,17.897083333333335,52.4
2550,14.225,17.7825,53.3
2600,14.26875,18.01375,53.5
2650,14.35625,18.539583333333333,54.3
2700,14.44375,19.342916666666667,54.7
2750,14.59375,19.98208333333333,55.9
2800,14.7125,19.9075,56.7
2850,14.83125,20.24375,57.3
2900,14.93125,20.615416666666672,57.9
2950,14.99375,21.234583333333333,58.3
3000,15.06875,20.87375,58.8
3050,15.14375,20.79625,58.8
3100,15.2125,19.646666666666672,59.0
3150,15.31875,19.95958333333333,60.0
3200,15.375,21.231666666666673,60.3
3250,15.4,21.375833333333333,60.6
3300,15.50625,21.582916666666666,61.1
3350,15.61875,21.24375,61.9
3400,15.7125,21.83,62.9
3450,15.8125,21.410833333333333,63.4
3500,15.875,21.174166666666668,63.8
3550,15.95625,20.574583333333333,64.5
3600,16.01875,20.629583333333336,64.9
3650,16.075,20.100833333333334,64.9
3700,16.225,20.995,65.9
3750,16.3375,20.835,66.9
3800,16.44375,20.820416666666667,67.4
3850,16.53125,21.122083333333336,68.0
3900,16.65625,21.14625,68.5
3950,16.7375,21.331666666666667,69.2
4000,16.825,21.63583333333333,70.2
4050,16.9125,21.259166666666665,70.9
4100,16.99375,21.40375,70.8
4150,17.05625,21.58875,71.4
4200,17.14375,21.62375,71.9
4250,17.20625,22.76208333333333,71.9
4300,17.28125,22.937916666666666,72.1
4350,17.4,23.07416666666667,72.8
4400,17.5375,22.58083333333333,73.5
4450,17.5375,21.89416666666667,73.6
4500,17.61875,22.28125,73.6
4550,17.675,22.214166666666664,74.1
4600,17.79375,21.92125,75.0
4650,17.86875,22.312916666666666,75.9
4700,17.95625,22.735416666666666,76.6
4750,17.9625,22.10083333333333,76.3
4800,18.025,21.635,76.9
4850,18.1,20.69333333333333,77.3
