Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.5625,0.5341666666666667,5.7
100,3.58125,1.825416666666667,19.3
150,5.3875,1.5966666666666665,31.7
200,6.575,1.2333333333333334,39.6
250,7.34375,1.45625,44.5
300,7.9625,1.61,48.6
350,8.5375,2.0875000000000004,53.2
400,9.01875,2.117916666666667,55.7
450,9.425,2.3866666666666667,57.9
500,9.78125,2.742083333333333,60.0
550,10.3,3.0075000000000003,64.4
600,10.7,3.4191666666666665,67.7
650,10.975,3.638333333333333,69.7
700,11.25,3.768333333333333,71.1
750,11.48125,4.119583333333333,72.7
800,11.68125,4.722916666666666,74.1
850,11.85,5.115833333333333,75.6
900,12.00625,5.107083333333333,76.7
950,12.1375,5.29,77.4
1000,12.225,5.4125,78.4
1050,12.2625,5.408333333333332,79.2
1100,12.3625,5.611666666666667,80.0
1150,12.4375,5.8050000000000015,80.4
1200,12.5,6.001666666666668,80.4
1250,12.5875,6.0458333333333325,80.9
1300,12.6625,6.200833333333334,81.5
1350,12.74375,6.48625,82.2
1400,12.80625,6.579583333333334,82.9
1450,12.8875,6.655833333333334,83.7
1500,12.975,6.8358333333333325,84.4
1550,13.05,7.115833333333333,84.7
1600,13.15625,7.58125,85.6
1650,13.25625,7.96625,86.5
1700,13.33125,8.152083333333334,87.8
1750,13.45625,8.219583333333334,88.9
1800,13.6,8.3875,89.8
1850,13.7125,8.61,90.4
1900,13.83125,8.88625,91.5
1950,13.88125,8.75625,92.2
2000,13.99375,9.355416666666667,93.2
2050,14.13125,9.874583333333334,94.4
2100,14.25625,10.247083333333332,95.3
2150,14.35625,10.333749999999998,96.2
2200,14.45625,10.985416666666666,97.6
2250,14.5,11.338333333333333,98.0
2300,14.61875,11.61625,98.8
2350,14.74375,12.282083333333333,100.0
2400,14.86875,12.192916666666665,101.3
2450,15.00625,13.159583333333336,102.8
2500,15.05625,13.247916666666665,103.6
2550,15.19375,13.59625,105.3
2600,15.28125,13.86875,106.5
2650,15.39375,13.884583333333332,107.8
2700,15.51875,14.279583333333333,109.5
2750,15.63125,14.617916666666668,110.2
2800,15.7,14.344166666666665,110.7
2850,15.7875,14.415,111.6
2900,15.8625,14.544166666666666,112.9
2950,15.9875,14.5425,114.1
3000,16.06875,14.81125,115.2
3050,16.15625,15.130416666666667,116.0
3100,16.2625,15.488333333333333,117.0
3150,16.3375,15.943333333333335,118.0
3200,16.4375,15.96,119.0
3250,16.55625,16.372083333333332,120.1
3300,16.65625,16.769583333333333,121.9
3350,16.75625,17.362083333333334,122.9
3400,16.85625,17.21375,123.8
3450,16.925,17.16583333333333,124.0
3500,17.0125,17.23166666666667,124.9
3550,17.05625,17.19625,124.6
3600,17.15,17.578333333333333,125.7
3650,17.26875,17.550416666666667,126.5
3700,17.41875,18.217083333333328,127.4
3750,17.4875,18.45,128.1
3800,17.6,18.09,128.6
3850,17.65625,18.32458333333333,129.4
3900,17.70625,18.07958333333333,129.3
3950,17.825,18.50583333333333,130.4
4000,17.88125,18.38375,130.4
4050,17.94375,19.07208333333333,131.0
4100,18.0125,18.8375,131.5
4150,18.05,18.7675,131.7
4200,18.09375,18.66958333333333,132.4
4250,18.14375,18.42125,132.6
4300,18.2375,18.33,133.4
4350,18.3125,18.679166666666667,134.2
4400,18.38125,18.730416666666667,135.0
4450,18.425,18.633333333333333,135.6
4500,18.525,18.411666666666672,137.0
4550,18.55,18.45583333333333,137.3
4600,18.5625,17.948333333333327,137.8
4650,18.6125,18.08,138.0
4700,18.6125,17.9875,138.5
4750,18.64375,18.067916666666665,139.5
4800,18.71875,18.20625,140.5
4850,18.75625,18.20958333333333,140.8
4900,18.83125,18.43875,141.7
4950,18.85625,18.259583333333328,141.9
5000,18.8875,18.145000000000003,141.8
5050,18.93125,18.210416666666667,142.0
5100,18.98125,18.285416666666674,143.2
5150,19.025,18.34,143.7
5200,19.04375,18.242083333333333,144.2
5250,19.15,18.130833333333328,145.1
5300,19.2,18.579166666666666,145.0
5350,19.225,18.564166666666672,145.6
5400,19.2,18.58333333333333,145.5
5450,19.2625,19.133333333333333,146.0
5500,19.29375,19.267083333333336,146.5
5550,19.35,19.636666666666667,146.7
5600,19.4375,20.089166666666664,147.8
5650,19.51875,20.284583333333334,148.8
5700,19.55,20.7325,149.4
5750,19.56875,21.005416666666672,149.5
5800,19.56875,20.957916666666666,149.2
5850,19.5625,21.0875,149.0
5900,19.5875,21.225,149.6
5950,19.6375,21.3925,150.2
6000,19.66875,21.37375,150.3
6050,19.675,21.2275,149.9
6100,19.73125,21.212916666666665,150.4
6150,19.7625,21.436666666666667,150.7
6200,19.79375,21.515416666666663,151.1
6250,19.88125,21.86625,151.6
6300,19.95,22.4325,151.4
6350,20.0,22.473333333333336,152.6
6400,20.05,22.70583333333333,153.1
6450,20.1125,22.9125,154.2
6500,20.1625,23.122499999999995,154.4
6550,20.1625,23.34333333333333,154.7
