Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.70625,0.7395833333333334,6.6
100,3.74375,1.512916666666667,20.2
150,5.40625,1.559583333333333,29.6
200,6.50625,1.3804166666666666,36.0
250,7.25,1.3883333333333332,38.5
300,7.86875,1.4062499999999998,42.4
350,8.51875,1.6654166666666668,46.2
400,9.05625,1.9120833333333336,48.5
450,9.5625,2.505,52.2
500,10.025,2.99,54.3
550,10.45,3.4308333333333336,56.7
600,10.9125,3.6733333333333333,61.3
650,11.20625,4.279583333333333,63.6
700,11.5,4.741666666666667,65.6
750,11.7625,5.296666666666667,66.8
800,11.95625,5.542916666666668,68.6
850,12.1125,5.950833333333334,69.6
900,12.29375,6.010416666666666,70.3
950,12.45,6.4350000000000005,70.5
1000,12.58125,6.828750000000001,71.2
1050,12.76875,7.152916666666667,72.0
1100,12.88125,7.22625,73.0
1150,12.98125,6.95625,72.9
1200,13.1375,7.133333333333335,74.1
1250,13.23125,7.157916666666668,73.9
1300,13.35625,7.359583333333335,74.3
1350,13.45,7.8625000000000025,74.9
1400,13.63125,8.05875,76.1
1450,13.79375,8.561250000000001,77.3
1500,13.91875,8.699583333333333,77.9
1550,14.1375,9.544166666666666,79.4
1600,14.29375,9.94125,80.3
1650,14.425,10.170833333333333,81.1
1700,14.55625,10.681250000000002,81.7
1750,14.775,11.130833333333333,83.0
1800,14.90625,11.832083333333333,84.2
1850,15.06875,11.904583333333333,85.0
1900,15.18125,12.38875,86.3
1950,15.2875,12.505833333333333,87.2
2000,15.3875,12.811666666666667,88.0
2050,15.50625,13.095416666666665,89.5
2100,15.625,13.426666666666668,90.2
2150,15.78125,14.242916666666664,92.3
2200,15.99375,14.48875,93.3
2250,16.1125,15.050833333333335,95.0
2300,16.25625,15.41125,94.6
2350,16.35625,16.024583333333332,95.2
2400,16.45,16.0975,96.0
2450,16.6125,17.166666666666668,97.5
2500,16.76875,17.548750000000002,98.6
2550,16.85625,17.965416666666673,99.2
2600,16.9625,18.205833333333327,100.3
2650,17.075,18.438333333333336,101.4
2700,17.16875,19.19625,102.6
2750,17.2875,19.508333333333333,103.6
2800,17.4,19.615,103.8
2850,17.4625,19.425833333333333,104.0
2900,17.6125,20.273333333333333,105.7
2950,17.7,20.18583333333333,106.0
3000,17.83125,20.355416666666667,107.3
3050,17.975,20.725,109.3
3100,18.075,20.685,110.6
3150,18.19375,20.707083333333326,112.2
3200,18.3,20.57,113.1
3250,18.38125,20.02375,113.9
3300,18.49375,19.95375,114.5
3350,18.575,20.320833333333333,114.9
3400,18.7125,21.175833333333333,116.8
3450,18.79375,20.889583333333327,117.1
3500,18.86875,21.165416666666665,118.1
3550,18.9125,20.935833333333328,118.1
3600,18.99375,21.325416666666666,119.0
3650,19.025,21.375,118.9
3700,19.1125,21.53166666666667,119.5
3750,19.15,21.067500000000006,119.0
3800,19.19375,21.205416666666668,118.8
3850,19.25625,21.54708333333333,119.9
3900,19.325,21.38,119.1
3950,19.36875,21.405416666666667,120.2
4000,19.5,21.571666666666665,121.3
4050,19.5875,22.02583333333333,121.4
4100,19.6625,21.809166666666666,121.4
4150,19.71875,21.44625,122.3
4200,19.73125,21.450416666666666,123.2
4250,19.7625,21.9275,123.8
4300,19.88125,21.357916666666668,124.5
4350,19.925,21.50583333333333,124.4
4400,19.9375,21.5075,124.5
4450,19.9375,20.745833333333334,124.5
4500,19.9375,20.416666666666664,124.9
4550,20.01875,20.155416666666664,125.8
4600,20.09375,20.61875,126.1
4650,20.1125,20.931666666666672,125.9
4700,20.11875,20.59125,126.5
4750,20.13125,20.447083333333328,126.3
4800,20.19375,20.48375,126.4
4850,20.21875,20.392916666666668,127.0
4900,20.3,20.77833333333333,127.5
4950,20.35,21.2675,127.1
5000,20.38125,21.107916666666668,127.5
5050,20.50625,21.48708333333333,128.1
5100,20.475,21.354166666666668,128.1
5150,20.54375,21.26875,129.6
5200,20.575,21.128333333333334,129.5
5250,20.575,21.59166666666667,129.5
5300,20.60625,21.60958333333333,130.1
5350,20.6125,21.83583333333333,130.3
5400,20.69375,22.340416666666666,130.8
5450,20.7625,22.51083333333333,131.7
5500,20.825,22.93,132.6
5550,20.90625,23.410416666666666,133.3
5600,20.94375,23.49125,133.2
5650,21.01875,24.31375,134.3
5700,21.06875,23.95125,133.9
5750,21.10625,24.33958333333333,134.0
5800,21.175,24.555,134.7
5850,21.2,24.22583333333333,135.0
5900,21.225,24.2825,135.1
5950,21.30625,24.47375,135.9
6000,21.34375,24.626249999999995,135.9
6050,21.3375,24.8475,136.3
6100,21.34375,24.99708333333333,136.2
6150,21.39375,25.340416666666666,136.4
6200,21.4125,25.7375,137.0
6250,21.44375,25.03791666666667,137.8
6300,21.48125,25.17958333333333,138.4
6350,21.5375,25.84333333333333,138.9
6400,21.54375,26.06458333333333,139.2
6450,21.51875,26.142916666666668,138.8
6500,21.575,26.2725,139.7
6550,21.6,26.125,140.4
6600,21.625,26.15416666666666,140.5
6650,21.65,26.10583333333333,141.1
6700,21.725,25.565000000000005,141.8
6750,21.7375,24.935,141.1
6800,21.85,25.3225,142.3
6850,21.90625,25.73541666666667,142.9
6900,21.925,25.02583333333333,143.4
6950,21.98125,24.762916666666666,143.5
7000,22.075,25.135,144.8
7050,22.1375,25.32,145.0
7100,22.19375,25.53541666666667,145.6
7150,22.225,26.01833333333333,145.8
7200,22.225,25.574166666666667,146.3
7250,22.25,25.9625,146.7
7300,22.35625,27.04208333333333,147.5
7350,22.40625,26.848750000000006,148.7
7400,22.39375,26.38875,148.8
7450,22.39375,26.361249999999995,148.7
7500,22.45,25.945833333333336,149.4
7550,22.46875,25.54791666666667,150.2
7600,22.55625,26.25291666666667,151.0
7650,22.64375,26.015416666666663,151.9
7700,22.7375,26.24,152.9
7750,22.7375,26.28083333333333,153.7
7800,22.71875,25.58458333333333,153.9
7850,22.76875,25.364583333333336,153.4
7900,22.84375,25.17708333333333,154.7
7950,22.9375,25.485,155.8
8000,22.9875,26.396666666666665,156.4
8050,23.01875,26.252916666666664,156.9
8100,23.0,26.22833333333333,156.9
8150,23.05,26.93333333333333,156.8
8200,22.98125,26.36625,156.8
8250,22.93125,26.953750000000007,156.3
8300,22.91875,26.90291666666667,156.1
8350,22.9625,26.66666666666667,156.2
8400,22.95625,26.887916666666666,156.0
8450,22.9875,27.38416666666667,156.8
8500,23.025,27.575,157.4
8550,23.0125,27.5775,157.2
8600,23.0125,27.48833333333333,157.0
8650,22.95625,27.30875,156.6
8700,22.91875,27.68958333333333,156.7
8750,22.925,27.22,157.1
8800,22.8875,26.76083333333333,156.7
8850,22.8625,26.281666666666666,157.1
8900,22.8375,26.03666666666666,157.4
8950,22.85625,25.278749999999995,157.9
9000,22.925,25.389166666666664,158.4
9050,22.95625,26.03125,158.6
9100,22.98125,26.38875,159.5
9150,23.00625,26.05458333333333,159.7
9200,23.0,26.18,160.4
9250,22.975,25.483333333333334,160.1
9300,22.94375,24.952083333333334,160.2
9350,22.99375,25.17625,161.1
9400,23.0,24.7325,161.0
9450,23.01875,24.62458333333333,160.7
9500,23.0125,24.385,160.4
9550,23.04375,24.447916666666664,160.7
9600,22.9875,24.01916666666667,160.5
9650,22.95625,23.87375,160.4
9700,22.91875,23.364583333333336,160.5
9750,22.8375,23.47833333333333,159.6
9800,22.80625,24.13958333333333,159.7
9850,22.80625,24.32125,159.6
9900,22.84375,24.297916666666666,159.8
9950,22.85625,24.67541666666667,159.8
10000,22.8875,24.875833333333336,160.1
10050,22.9625,24.8925,160.8
10100,22.925,24.78083333333333,160.3
10150,22.90625,24.17875,160.2
10200,22.86875,23.785416666666666,159.8
10250,22.86875,24.20291666666667,159.6
10300,22.8375,24.44416666666667,159.6
10350,22.88125,24.75125,160.3
10400,22.9625,25.14,160.9
10450,22.98125,25.16125,160.6
10500,22.95625,25.39708333333333,160.5
10550,22.9625,26.0,160.8
10600,22.975,25.67,160.5
10650,22.98125,25.40541666666667,161.0
10700,22.925,25.0775,160.5
10750,22.90625,25.220416666666665,160.4
10800,22.9,24.5425,160.5
10850,22.90625,24.52375,160.7
10900,22.9,24.40416666666667,160.9
10950,22.94375,25.107916666666664,161.7
11000,22.9625,25.78666666666667,161.8
11050,22.9375,25.9125,162.0
11100,22.91875,25.45208333333333,162.3
11150,22.94375,25.40958333333333,163.0
11200,22.93125,25.19291666666667,163.0
11250,22.98125,25.09208333333333,163.7
11300,23.025,25.108333333333334,163.9
11350,23.0625,25.806666666666665,164.6
11400,23.075,25.675,165.0
11450,23.05625,25.871250000000003,164.9
11500,23.06875,25.60208333333333,165.3
11550,23.06875,25.41041666666667,165.1
11600,23.0625,25.8575,164.9
11650,23.08125,25.878750000000004,165.3
11700,23.1625,26.24666666666667,166.1
11750,23.125,25.958333333333336,165.8
11800,23.16875,26.53041666666667,166.6
11850,23.23125,26.52791666666667,167.2
11900,23.24375,26.82208333333333,166.5
11950,23.2375,26.83916666666667,166.5
12000,23.25625,26.57458333333333,166.6
12050,23.26875,26.671250000000004,166.5
12100,23.275,27.10083333333333,166.8
12150,23.2625,27.53,166.9
12200,23.28125,27.57291666666667,166.8
12250,23.275,27.467499999999994,166.4
12300,23.26875,27.33458333333333,166.1
12350,23.28125,27.59208333333333,166.4
12400,23.29375,27.88291666666667,167.1
12450,23.3,27.839166666666664,166.9
12500,23.25625,27.36625,165.9
12550,23.36875,27.13625,167.2
12600,23.38125,27.20958333333333,167.5
12650,23.3875,27.057500000000005,167.5
12700,23.425,27.71333333333333,168.4
12750,23.4875,28.2725,169.1
12800,23.51875,28.97291666666667,169.7
12850,23.5125,28.49333333333333,169.6
12900,23.4875,28.25333333333333,169.4
12950,23.475,28.434166666666666,169.2
13000,23.51875,28.09958333333334,169.9
13050,23.5,28.56666666666667,169.8
13100,23.5625,29.25666666666667,170.1
13150,23.5875,29.779999999999994,170.1
13200,23.61875,28.89791666666667,170.1
13250,23.625,29.007500000000004,170.6
13300,23.64375,28.59208333333333,171.5
13350,23.66875,28.83708333333333,171.4
13400,23.75,29.22666666666667,172.3
13450,23.7875,29.610833333333336,172.8
13500,23.80625,29.50208333333333,173.3
13550,23.75,29.27583333333334,172.6
13600,23.775,29.35416666666667,172.5
13650,23.74375,28.888750000000005,172.0
13700,23.80625,28.94291666666666,172.9
13750,23.7875,28.946666666666665,173.3
13800,23.7375,27.660833333333336,173.1
13850,23.725,27.26083333333333,172.5
13900,23.7375,27.12416666666667,172.5
13950,23.775,27.469166666666666,173.0
14000,23.75,27.4575,172.6
14050,23.8,27.700833333333332,172.9
14100,23.80625,27.327916666666663,173.1
14150,23.83125,27.476250000000004,173.8
14200,23.825,26.92583333333333,173.4
14250,23.91875,27.42208333333333,174.6
14300,23.95,27.840833333333336,174.4
14350,23.98125,28.062916666666666,174.7
14400,23.98125,27.66291666666667,174.7
14450,23.96875,27.42958333333333,174.7
14500,23.90625,27.325416666666666,174.2
14550,23.925,27.3775,174.7
14600,23.96875,27.770416666666666,175.1
14650,24.0,27.681666666666665,175.4
14700,24.06875,28.40458333333333,176.1
14750,24.08125,28.93208333333333,176.1
14800,24.075,28.704166666666666,176.2
14850,24.0875,28.8,176.6
14900,24.06875,29.11875,176.9
14950,24.1125,29.575,177.5
15000,24.1,29.649166666666673,177.3
15050,24.075,30.120833333333334,176.6
15100,24.1,29.412500000000005,176.9
15150,24.10625,29.77625,177.9
15200,24.1375,29.77166666666667,178.3
15250,24.18125,29.41875,179.0
15300,24.13125,29.260416666666664,179.2
15350,24.19375,29.387916666666666,180.1
15400,24.24375,29.239583333333336,180.6
15450,24.26875,29.58625,181.1
15500,24.24375,29.010416666666664,180.5
15550,24.24375,28.79958333333333,180.3
15600,24.25,29.026666666666664,180.7
15650,24.25625,29.06791666666667,181.1
15700,24.24375,29.20875,180.4
15750,24.24375,29.51208333333334,180.7
15800,24.25625,29.492916666666666,180.4
15850,24.2375,29.41,180.2
15900,24.2625,29.85916666666667,180.4
15950,24.2625,30.09166666666667,180.5
16000,24.25,29.64083333333333,180.2
16050,24.2625,29.679166666666664,180.1
16100,24.21875,29.69291666666667,180.5
16150,24.175,29.69583333333333,179.9
16200,24.175,29.596666666666664,179.9
16250,24.15625,29.52958333333333,179.4
16300,24.15,29.390000000000004,180.3
16350,24.15,28.9875,180.6
16400,24.175,29.450833333333332,180.9
16450,24.1375,29.37833333333333,180.6
16500,24.1,29.015833333333337,180.1
16550,24.14375,29.66708333333333,180.2
16600,24.14375,29.86958333333333,180.3
16650,24.16875,29.808750000000003,181.1
16700,24.18125,29.78958333333333,181.3
16750,24.16875,29.66625,181.6
16800,24.225,30.12,182.4
16850,24.28125,30.41291666666667,182.8
16900,24.26875,29.91625,182.7
16950,24.275,30.19416666666667,183.2
17000,24.28125,29.870416666666664,183.3
17050,24.225,29.2475,182.8
17100,24.25625,29.97208333333333,183.2
17150,24.2875,30.404999999999994,183.7
17200,24.275,30.489166666666666,183.5
17250,24.25,30.2775,183.6
17300,24.2375,30.49333333333333,183.1
17350,24.2875,30.575833333333332,184.3
17400,24.28125,30.70958333333333,183.7
17450,24.3625,30.85416666666667,184.5
17500,24.26875,29.951250000000005,183.1
17550,24.23125,29.442083333333336,182.8
17600,24.19375,28.89625,182.7
17650,24.20625,29.39375,183.5
17700,24.2125,29.64,183.0
17750,24.24375,30.34791666666667,183.5
17800,24.2625,29.89666666666667,183.3
17850,24.21875,30.00625,182.9
17900,24.225,29.93166666666666,182.7
17950,24.28125,30.365416666666665,183.1
18000,24.26875,30.04625,183.5
18050,24.25625,30.24625,183.5
18100,24.275,30.1225,183.4
18150,24.24375,30.020416666666666,183.2
18200,24.23125,30.359583333333337,183.2
18250,24.25,30.7375,183.9
18300,24.26875,30.64125,184.2
18350,24.29375,30.464583333333334,184.3
18400,24.25,30.0975,183.9
18450,24.275,30.090000000000003,184.5
18500,24.2875,29.92833333333333,184.8
18550,24.29375,29.78458333333333,185.3
18600,24.3,29.5875,185.2
18650,24.30625,29.81125,185.6
18700,24.34375,30.582083333333333,186.3
18750,24.35,30.6375,186.6
18800,24.3125,30.43333333333333,185.8
18850,24.2875,30.31583333333333,185.7
