Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.7,0.8,6.6
100,3.775,1.67,20.8
150,5.275,1.5008333333333337,30.2
200,6.49375,1.4095833333333334,39.1
250,7.34375,1.68375,44.4
300,8.0125,1.63,48.6
350,8.54375,1.8237500000000004,52.1
400,9.025,2.1,56.1
450,9.475,2.466666666666667,58.4
500,10.0125,2.79,63.9
550,10.35625,2.827916666666667,66.5
600,10.79375,3.2729166666666663,70.5
650,11.225,3.803333333333333,73.8
700,11.60625,4.480416666666667,76.3
750,11.9125,4.730833333333334,78.3
800,12.1625,5.064166666666667,80.1
850,12.375,5.2925,81.9
900,12.55,5.959999999999999,83.4
950,12.65625,6.106250000000001,82.8
1000,12.75,6.316666666666667,84.1
1050,12.85625,6.58875,85.2
1100,12.93125,6.7629166666666665,85.8
1150,12.9875,6.826666666666666,86.4
1200,13.06875,6.979583333333332,87.2
1250,13.13125,7.22625,87.6
1300,13.175,7.2799999999999985,87.7
1350,13.275,7.515833333333332,87.6
1400,13.35625,7.6729166666666675,88.4
1450,13.38125,7.852916666666667,89.0
1500,13.43125,7.561250000000001,89.3
1550,13.55625,7.8379166666666675,91.1
1600,13.675,7.917499999999999,92.4
1650,13.775,7.920833333333332,93.4
1700,13.8625,8.025,94.2
1750,13.95625,8.069583333333332,94.3
1800,14.0625,8.521666666666668,95.6
1850,14.15,8.441666666666666,96.0
1900,14.26875,8.867916666666666,97.2
1950,14.35,9.576666666666666,97.8
2000,14.46875,9.709583333333333,98.6
2050,14.59375,9.90125,99.6
2100,14.7,10.1275,100.1
2150,14.91875,10.840416666666668,102.1
2200,15.01875,10.832916666666668,102.4
2250,15.1375,11.403333333333334,104.2
2300,15.23125,11.70375,104.5
2350,15.33125,11.847916666666665,105.3
2400,15.425,12.288333333333332,106.6
2450,15.5375,12.5575,107.7
2500,15.7125,12.758333333333333,109.3
2550,15.825,13.366666666666665,110.3
2600,15.93125,13.402916666666664,112.0
2650,15.98125,13.354583333333334,111.8
2700,16.13125,13.725416666666666,112.8
2750,16.24375,14.183749999999998,113.8
2800,16.3625,14.642500000000002,114.4
2850,16.4125,14.525833333333335,115.1
2900,16.49375,14.442083333333334,116.4
2950,16.54375,14.654583333333333,116.9
3000,16.68125,14.961249999999998,118.3
3050,16.78125,15.330416666666665,119.2
3100,16.7875,15.080833333333334,119.2
3150,16.88125,15.407083333333333,120.2
3200,16.95,15.496666666666664,121.2
3250,17.0375,15.647500000000004,122.6
3300,17.1375,15.675,122.9
3350,17.21875,15.735416666666666,123.5
3400,17.34375,16.147916666666667,124.6
3450,17.4625,16.664166666666667,126.1
3500,17.5,17.033333333333335,126.1
3550,17.65,17.369166666666665,127.6
3600,17.775,17.668333333333333,128.3
3650,17.84375,17.608750000000004,129.0
3700,17.9375,17.750833333333333,130.3
3750,18.0,17.740833333333335,130.9
3800,18.1,16.999166666666667,132.2
3850,18.2,17.780833333333334,133.0
3900,18.2625,17.888333333333335,133.5
3950,18.3,18.0575,133.9
4000,18.3875,18.304166666666667,134.9
4050,18.48125,17.817083333333333,136.1
4100,18.5125,17.634999999999994,136.2
4150,18.575,17.446666666666665,137.2
4200,18.6,17.54083333333333,137.1
4250,18.6,17.416666666666664,137.5
4300,18.625,17.279999999999998,137.6
4350,18.68125,17.54958333333333,138.2
4400,18.7625,18.3,139.2
4450,18.81875,18.11625,139.9
4500,18.90625,18.152916666666666,140.8
4550,18.93125,18.137916666666673,140.9
4600,18.96875,18.28708333333333,140.9
4650,18.9625,18.399166666666666,140.8
4700,18.9875,18.595,141.0
4750,19.06875,18.49125,142.0
4800,19.1375,18.599166666666672,142.5
4850,19.2125,18.116666666666667,142.7
4900,19.28125,18.12375,143.1
4950,19.325,17.954166666666666,143.4
5000,19.3625,18.216666666666672,144.3
5050,19.45625,18.569583333333334,144.9
5100,19.53125,19.100416666666668,146.0
5150,19.6,18.668333333333333,146.4
5200,19.6375,18.13833333333333,146.6
5250,19.7,18.2275,147.7
5300,19.7875,17.863333333333333,148.7
5350,19.85625,17.622916666666665,149.6
5400,19.94375,17.920416666666664,150.9
5450,20.00625,17.874583333333327,151.9
5500,20.125,17.97,153.2
5550,20.19375,17.757083333333334,153.5
5600,20.2375,17.539166666666667,153.8
5650,20.2875,17.9475,154.2
5700,20.31875,17.80958333333333,154.2
5750,20.38125,17.955416666666665,154.6
5800,20.40625,18.612916666666667,154.9
