Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.65,0.6224999999999999,6.0
100,3.8125,1.3891666666666669,20.2
150,5.5125,1.4774999999999998,32.1
200,6.6,1.3958333333333333,38.6
250,7.425,1.3516666666666666,44.6
300,8.09375,2.029583333333334,48.6
350,8.60625,2.047083333333333,51.0
400,9.1125,2.474166666666667,54.7
450,9.6625,2.4025,58.4
500,10.1625,2.7775,62.4
550,10.55,3.2141666666666664,66.2
600,11.0875,3.393333333333333,70.2
650,11.40625,3.692916666666666,72.6
700,11.7375,3.804166666666666,75.5
750,12.05,4.075833333333334,77.5
800,12.2125,4.3675,79.4
850,12.425,4.785833333333335,81.6
900,12.5875,4.945,82.3
950,12.70625,5.377916666666668,83.8
1000,12.80625,5.446250000000001,84.3
1050,12.95625,5.747916666666668,86.3
1100,13.05625,5.842083333333332,86.7
1150,13.15625,6.0095833333333335,87.6
1200,13.275,6.5808333333333335,87.9
1250,13.36875,6.46125,87.7
1300,13.4625,6.6625,88.3
1350,13.55625,6.8912499999999985,88.5
1400,13.6875,7.565,89.5
1450,13.80625,7.520416666666668,90.1
1500,13.8875,7.545833333333332,91.4
1550,13.9875,7.972500000000001,91.6
1600,14.06875,8.21875,91.7
1650,14.175,8.739999999999998,92.5
1700,14.225,9.075833333333335,92.9
1750,14.31875,9.25875,93.3
1800,14.39375,9.27625,93.4
1850,14.45625,9.544583333333332,93.3
1900,14.55,9.9925,94.5
1950,14.61875,10.097916666666666,95.2
2000,14.74375,10.56125,96.1
2050,14.81875,10.614583333333334,96.8
2100,14.8875,10.8275,97.1
2150,14.9375,11.021666666666668,97.8
2200,15.05,11.3525,98.4
2250,15.19375,11.68375,99.2
2300,15.26875,11.914583333333333,99.0
2350,15.35,11.845833333333333,99.4
2400,15.41875,12.044583333333335,99.8
2450,15.5375,11.976666666666668,100.8
2500,15.65625,12.12875,101.5
2550,15.71875,12.576249999999998,102.0
2600,15.84375,12.975416666666666,103.5
2650,16.0,13.159166666666668,105.0
2700,16.0875,13.343333333333335,106.0
2750,16.24375,13.357083333333332,107.5
2800,16.375,13.6575,109.3
2850,16.425,13.608333333333334,109.8
2900,16.55,14.0,110.8
2950,16.64375,13.985416666666666,111.3
3000,16.7375,14.345833333333335,112.3
3050,16.875,14.9525,113.2
3100,16.9875,15.037499999999998,114.1
3150,17.10625,15.402083333333335,115.3
3200,17.1625,15.015,115.9
3250,17.2625,15.405833333333335,116.8
3300,17.34375,15.77375,118.1
3350,17.475,16.125,119.7
3400,17.56875,16.064583333333335,120.4
3450,17.63125,16.14958333333333,121.3
3500,17.73125,16.19708333333333,122.5
3550,17.84375,16.518750000000004,123.9
3600,17.9625,16.65083333333334,125.1
3650,18.0625,16.565,125.9
3700,18.175,16.5375,126.9
3750,18.25625,16.430416666666666,127.1
3800,18.375,16.68583333333333,127.4
3850,18.43125,17.075416666666666,127.8
3900,18.55625,17.355416666666667,129.2
3950,18.6375,17.078333333333333,129.9
4000,18.65625,17.284583333333334,130.2
4050,18.71875,17.29875,130.8
4100,18.83125,17.421249999999993,132.1
4150,18.88125,17.522916666666667,132.4
4200,18.9,17.1,132.6
4250,18.94375,16.977083333333333,133.1
4300,19.01875,17.145416666666666,133.5
4350,19.03125,17.18208333333333,133.5
4400,19.05625,17.333750000000002,133.4
4450,19.125,17.275,134.5
4500,19.19375,16.97041666666667,135.4
4550,19.25,17.033333333333335,136.3
4600,19.375,16.960833333333333,137.3
4650,19.4125,16.908333333333335,137.3
4700,19.475,17.15916666666667,138.3
4750,19.6,17.520833333333336,139.6
4800,19.675,17.308333333333334,140.5
4850,19.75625,17.527916666666666,141.7
4900,19.81875,17.980416666666667,142.4
4950,19.95,18.224166666666672,143.7
5000,19.975,18.348333333333336,144.1
5050,19.9625,18.324166666666667,144.2
5100,20.0,18.2925,144.8
5150,20.025,18.209166666666672,145.3
5200,20.025,18.0775,144.9
5250,20.05,17.963333333333335,145.2
5300,20.0875,17.845833333333335,145.3
5350,20.13125,17.810416666666665,145.9
5400,20.2,17.903333333333332,147.2
5450,20.2125,17.82,147.3
5500,20.3,18.423333333333336,148.0
5550,20.30625,18.34625,147.9
5600,20.41875,18.88458333333333,148.5
5650,20.475,19.2825,149.7
5700,20.49375,19.53125,150.0
5750,20.5,19.5425,150.6
5800,20.5625,20.175,151.2
5850,20.575,20.1325,150.8
5900,20.60625,20.097916666666666,150.7
5950,20.65,20.4775,151.4
6000,20.68125,20.41875,151.4
6050,20.7125,21.1175,152.0
6100,20.78125,21.517083333333336,153.0
6150,20.88125,21.85791666666667,153.9
6200,20.9125,21.81333333333333,154.0
6250,20.95,22.065,154.3
6300,21.03125,22.15625,154.7
6350,21.04375,22.129583333333336,155.2
6400,21.1,21.82416666666667,155.5
6450,21.125,22.185,156.0
6500,21.1625,22.45916666666667,156.5
6550,21.20625,22.59375,156.4
6600,21.25,22.2,157.2
6650,21.3,22.19833333333333,158.4
6700,21.33125,22.08125,158.2
6750,21.38125,21.58625,158.9
6800,21.45,21.6075,159.8
6850,21.49375,21.65041666666667,159.7
6900,21.575,21.70416666666667,160.4
6950,21.61875,21.95291666666667,161.1
7000,21.675,21.89833333333333,161.7
7050,21.73125,21.97208333333333,162.3
7100,21.7375,21.5125,162.7
7150,21.75,21.43583333333333,162.8
7200,21.79375,21.362916666666667,163.0
7250,21.85625,21.094583333333333,163.5
7300,21.8875,20.936666666666667,163.8
7350,21.9125,21.161666666666665,164.4
7400,21.93125,21.150416666666665,164.5
7450,21.9625,21.07,164.4
7500,21.9875,20.8825,164.6
7550,22.0625,20.6675,165.0
