Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.75625,0.7879166666666666,6.9
100,3.875,1.6441666666666668,22.2
150,5.4625,1.0433333333333334,32.2
200,6.48125,1.09875,39.2
250,7.19375,1.28125,43.6
300,7.975,1.4958333333333331,48.0
350,8.61875,2.075416666666667,51.7
400,9.11875,2.199583333333333,53.8
450,9.675,2.3158333333333334,57.7
500,10.175,2.126666666666666,60.8
550,10.66875,2.5929166666666665,64.8
600,11.09375,2.8720833333333333,67.9
650,11.3875,3.211666666666667,70.6
700,11.75625,3.61125,73.2
750,12.0875,4.129166666666666,76.2
800,12.375,4.6225000000000005,78.6
850,12.54375,4.932083333333334,79.9
900,12.6875,5.0633333333333335,81.2
950,12.8125,5.525,82.8
1000,12.91875,5.979583333333332,83.6
1050,12.975,6.079166666666668,83.8
1100,13.025,6.2700000000000005,83.8
1150,13.05625,6.521249999999998,84.1
1200,13.1125,6.581666666666666,84.5
1250,13.1375,6.746666666666667,84.0
1300,13.23125,6.817083333333334,83.7
1350,13.25,6.809166666666667,83.9
1400,13.26875,6.7870833333333325,83.3
1450,13.3375,6.9049999999999985,83.4
1500,13.39375,7.038749999999999,83.4
1550,13.5,7.053333333333333,83.9
1600,13.60625,7.36125,84.8
1650,13.6875,7.578333333333331,85.5
1700,13.8,7.480000000000001,86.0
1750,13.85,7.408333333333334,86.6
1800,13.95625,7.408750000000002,86.5
1850,14.05625,7.6104166666666675,87.0
1900,14.175,7.955,87.6
1950,14.26875,8.00875,88.7
2000,14.34375,8.130416666666665,89.1
2050,14.4,8.0275,89.1
2100,14.54375,7.806250000000001,90.0
2150,14.68125,7.927083333333332,90.4
2200,14.825,7.973333333333334,91.3
2250,14.94375,8.252916666666668,92.4
2300,15.075,8.584999999999999,93.9
2350,15.2,8.886666666666667,95.5
2400,15.30625,9.265416666666667,96.5
2450,15.425,10.280833333333334,98.1
2500,15.51875,10.47375,99.1
2550,15.64375,10.862916666666667,100.6
2600,15.7125,10.89,101.3
2650,15.86875,11.377083333333333,102.9
2700,15.9375,11.420833333333334,103.8
2750,16.0375,11.533333333333333,104.3
2800,16.1125,11.531666666666665,104.7
2850,16.25625,12.022083333333333,106.2
