Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.68125,0.7570833333333333,6.5
100,3.8375,1.485,22.2
150,5.45625,1.075416666666667,32.6
200,6.475,1.2583333333333333,37.9
250,7.29375,1.6162499999999995,42.8
300,7.96875,1.8945833333333333,46.4
350,8.59375,1.8529166666666663,50.2
400,9.14375,2.1204166666666664,53.5
450,9.58125,2.53125,56.6
500,10.05625,2.7345833333333336,60.2
550,10.5125,3.04,63.0
600,10.8625,3.519166666666666,65.5
650,11.26875,3.9979166666666672,68.5
700,11.65,4.426666666666667,71.9
750,11.84375,4.8587500000000015,73.5
800,11.9875,4.916666666666666,76.3
850,12.08125,5.2004166666666665,75.9
900,12.23125,5.4279166666666665,76.3
950,12.3625,5.481666666666667,77.5
1000,12.45625,5.664583333333333,78.1
1050,12.575,5.6775,79.2
1100,12.7125,6.2200000000000015,80.0
1150,12.7875,6.071666666666667,80.3
1200,12.86875,6.0945833333333335,80.1
1250,12.925,6.183333333333333,80.5
1300,13.0125,6.265,80.2
1350,13.09375,6.257083333333332,80.6
1400,13.175,6.3575,81.2
1450,13.225,6.4766666666666675,81.7
1500,13.30625,6.520416666666668,82.1
1550,13.40625,6.529583333333332,82.7
1600,13.50625,6.699583333333334,83.3
1650,13.6375,6.921666666666665,84.2
1700,13.7375,6.9425,85.3
1750,13.84375,7.2420833333333325,86.5
1800,13.95,7.611666666666667,87.2
1850,14.08125,7.807916666666666,88.7
1900,14.1375,7.994999999999999,89.1
1950,14.24375,8.45625,89.8
2000,14.36875,8.807916666666667,91.1
2050,14.50625,9.009583333333335,92.1
2100,14.60625,9.464583333333334,92.5
2150,14.7375,9.669166666666666,93.0
2200,14.86875,10.335416666666664,93.8
2250,14.9875,10.5975,94.9
2300,15.1,10.503333333333332,95.2
2350,15.25625,10.782916666666667,96.7
2400,15.325,11.046666666666667,96.9
2450,15.43125,11.28625,98.0
2500,15.49375,11.392916666666668,98.1
2550,15.6125,11.636666666666667,99.5
2600,15.75625,12.169583333333335,100.8
2650,15.8625,11.908333333333333,102.2
2700,15.99375,12.272916666666667,103.6
2750,16.1125,12.785,104.5
2800,16.18125,13.250416666666665,105.5
2850,16.25625,13.542916666666665,105.9
2900,16.30625,13.417083333333334,105.6
2950,16.40625,13.872916666666665,107.4
3000,16.50625,13.810416666666667,108.7
3050,16.6125,14.145,110.2
3100,16.7375,14.549166666666668,111.5
3150,16.85625,15.15375,112.6
3200,16.9875,14.765833333333333,113.4
3250,17.06875,14.716250000000002,113.8
3300,17.2125,15.150833333333333,114.5
3350,17.29375,15.534583333333336,115.5
3400,17.36875,15.342083333333335,116.3
3450,17.4875,15.4525,117.3
3500,17.55,15.826666666666668,117.9
3550,17.65,16.18916666666667,118.2
3600,17.7375,16.575833333333332,119.5
3650,17.8,16.648333333333333,119.5
3700,17.9,16.650833333333335,120.3
3750,18.0,16.548333333333336,121.4
3800,18.0625,16.45416666666667,122.6
3850,18.10625,16.724583333333335,123.4
3900,18.15625,16.824583333333333,124.4
3950,18.2625,16.653333333333336,125.3
4000,18.36875,16.289583333333333,126.0
4050,18.4375,16.515833333333337,126.7
4100,18.5625,16.630000000000006,127.6
4150,18.61875,16.81125,128.2
4200,18.70625,16.807916666666667,128.9
4250,18.80625,16.669583333333332,130.6
4300,18.85625,17.080416666666665,130.7
4350,18.925,17.095,131.0
4400,18.95,17.250833333333336,132.1
4450,19.0,17.155833333333334,132.5
4500,19.075,16.604166666666664,133.7
