Iteration,cc_mean,cc_var,wc
0,0.0,0.0,0.0
50,1.64375,0.6679166666666667,6.2
100,3.70625,1.5379166666666666,20.1
150,5.30625,1.1012499999999998,29.9
200,6.35,1.3608333333333331,37.0
250,7.16875,1.42875,43.1
300,7.90625,1.737083333333333,47.8
350,8.5375,1.955,52.4
400,9.1375,1.9758333333333329,57.4
450,9.66875,2.17625,60.6
500,10.14375,2.45125,64.4
550,10.64375,3.0737499999999995,68.2
600,11.0875,3.26,72.2
650,11.48125,3.764583333333333,74.8
700,11.83125,4.1087500000000015,77.7
750,12.0125,4.401666666666666,78.2
800,12.2,4.6258333333333335,78.8
850,12.3625,4.903333333333333,80.9
900,12.525,5.3199999999999985,82.7
950,12.6375,5.514166666666666,83.3
1000,12.7375,5.855,83.1
1050,12.8625,6.231666666666667,83.4
1100,12.9625,6.644999999999999,84.3
1150,13.025,6.626666666666668,84.9
1200,13.1125,6.87,85.8
1250,13.1375,7.154166666666668,85.9
1300,13.23125,7.312916666666666,86.9
1350,13.30625,7.323750000000001,87.0
1400,13.35625,7.34875,87.5
1450,13.48125,7.67625,88.0
1500,13.55,7.846666666666668,88.0
1550,13.625,8.010833333333334,88.9
1600,13.725,8.194999999999999,89.8
1650,13.825,8.5725,90.1
1700,13.95625,8.917083333333334,91.4
1750,14.025,8.893333333333334,91.7
1800,14.08125,9.239583333333334,92.0
1850,14.1625,9.2875,92.6
1900,14.25,9.234166666666667,92.9
1950,14.33125,9.355416666666667,93.6
2000,14.36875,9.460416666666664,94.4
2050,14.4625,9.510833333333334,95.1
2100,14.59375,9.812083333333335,95.6
2150,14.675,10.072500000000002,96.7
2200,14.8,10.073333333333334,98.0
2250,14.91875,10.430416666666666,99.3
2300,14.99375,10.677083333333332,99.6
2350,15.1,10.920833333333333,101.1
2400,15.21875,11.259583333333332,102.2
2450,15.30625,11.287083333333335,103.3
2500,15.40625,11.63375,105.0
2550,15.46875,11.602083333333333,105.8
2600,15.59375,12.140416666666665,106.3
2650,15.71875,12.784583333333336,107.7
2700,15.8125,13.409166666666668,108.6
2750,15.875,13.708333333333336,109.4
2800,15.9875,14.105,110.7
2850,16.0875,14.899166666666668,111.7
2900,16.13125,14.979583333333332,111.6
2950,16.225,14.885833333333334,112.6
3000,16.31875,15.29125,113.8
3050,16.46875,15.42625,115.3
3100,16.51875,15.579583333333336,115.7
3150,16.5875,15.871666666666664,116.3
3200,16.64375,16.107916666666668,116.8
3250,16.675,16.196666666666665,117.2
3300,16.7875,16.734166666666667,118.3
3350,16.8375,16.966666666666665,118.7
3400,16.8875,16.630833333333335,119.0
3450,16.99375,16.989583333333336,120.2
3500,17.08125,17.27041666666667,121.3
3550,17.175,16.841666666666665,122.1
3600,17.2625,17.200833333333332,123.4
3650,17.34375,16.59625,124.1
3700,17.46875,17.017916666666668,125.8
3750,17.5625,17.625833333333333,126.7
3800,17.6375,17.8375,127.7
3850,17.725,18.004166666666666,128.7
3900,17.83125,18.43458333333333,129.8
3950,17.925,18.674166666666668,130.6
4000,18.01875,19.032083333333333,131.5
4050,18.1125,19.300833333333333,132.7
4100,18.16875,19.233750000000004,133.6
4150,18.24375,19.632083333333334,134.5
4200,18.3,19.711666666666666,135.0
4250,18.39375,20.115416666666672,136.2
4300,18.50625,19.81875,137.0
4350,18.54375,20.047083333333333,138.1
4400,18.5875,20.155,138.7
4450,18.6875,20.6425,139.9
4500,18.75,20.520000000000003,140.2
4550,18.8125,20.3225,140.7
4600,18.89375,20.55791666666667,141.7
4650,18.9625,20.563333333333333,142.5
4700,19.0375,20.475833333333334,143.1
4750,19.13125,20.24375,144.1
4800,19.1625,20.428333333333327,144.0
4850,19.15625,20.370416666666664,144.1
4900,19.225,20.5275,145.1
4950,19.25625,19.987916666666667,145.4
5000,19.29375,20.00375,145.1
5050,19.35,19.670833333333327,145.7
5100,19.40625,19.97875,146.4
5150,19.48125,19.69625,147.5
5200,19.5625,20.12,148.7
5250,19.6,20.51,149.1
5300,19.65625,20.25375,149.9
5350,19.7375,19.692500000000006,150.1
5400,19.79375,19.70625,150.9
5450,19.85,19.671666666666667,151.8
5500,19.88125,19.227916666666665,151.8
5550,19.9625,19.474166666666665,152.5
5600,20.00625,19.69875,153.0
5650,20.04375,19.197083333333328,153.6
5700,20.13125,19.29875,154.9
5750,20.23125,19.357083333333332,155.9
5800,20.31875,19.730416666666667,156.6
5850,20.4125,20.224166666666672,157.5
5900,20.48125,20.109583333333337,158.3
5950,20.5125,19.906666666666673,159.1
6000,20.625,20.0375,159.9
6050,20.65,20.268333333333327,160.0
6100,20.70625,20.16125,160.8
6150,20.78125,20.832083333333333,161.4
6200,20.8,21.23,161.2
6250,20.86875,21.23625,162.0
6300,20.91875,21.75958333333333,162.7
6350,20.9625,21.80083333333333,162.9
6400,20.98125,21.78208333333333,163.0
6450,21.0625,22.3275,164.1
6500,21.1125,22.5525,164.5
6550,21.21875,22.17125,165.6
6600,21.2625,22.390000000000004,166.0
6650,21.25625,22.50208333333333,166.2
6700,21.275,22.590833333333336,166.9
6750,21.275,22.88583333333333,167.4
6800,21.2875,23.005000000000006,167.9
6850,21.3375,23.44,167.9
6900,21.35625,23.408750000000005,168.2
6950,21.38125,23.389583333333334,168.6
7000,21.4625,23.450833333333332,169.1
7050,21.4625,23.2625,169.2
7100,21.5,23.23,169.2
7150,21.55625,22.85041666666667,169.7
7200,21.5875,23.22,169.8
7250,21.63125,23.32208333333333,170.3
7300,21.69375,23.60875,171.2
7350,21.71875,23.32125,171.1
7400,21.75,23.500833333333336,171.0
7450,21.79375,23.06875,171.8
7500,21.8125,22.73416666666667,171.9
7550,21.8375,22.71333333333333,172.0
7600,21.8125,22.554166666666664,171.5
7650,21.83125,22.43375,171.1
7700,21.81875,22.197916666666664,171.4
7750,21.84375,22.308750000000003,171.7
7800,21.85,22.3875,171.7
7850,21.8875,22.45916666666667,171.8
7900,21.9125,22.0375,171.9
7950,21.925,22.105,172.3
8000,21.9375,21.46583333333333,172.5
8050,21.93125,21.282083333333333,172.9
8100,21.9375,21.29,172.7
8150,22.00625,21.37208333333333,173.8
8200,22.025,21.67333333333333,174.0
8250,22.0125,21.281666666666666,174.2
8300,22.0125,20.880000000000006,174.0
8350,22.03125,21.235416666666666,174.0
8400,22.1,21.48333333333333,174.4
8450,22.1625,21.49333333333333,174.9
8500,22.175,21.418333333333333,175.3
8550,22.16875,21.339583333333326,175.6
8600,22.18125,21.52125,175.7
8650,22.2,21.57416666666667,175.8
8700,22.225,21.567500000000006,175.5
8750,22.26875,21.605416666666667,176.1
8800,22.3125,21.676666666666666,176.5
8850,22.35,21.69333333333333,177.2
8900,22.375,21.54333333333333,177.8
8950,22.35625,21.72125,177.7
9000,22.4,21.621666666666666,178.1
9050,22.44375,21.809583333333336,178.8
9100,22.48125,21.91791666666667,178.8
9150,22.50625,21.84458333333333,178.9
9200,22.53125,21.87708333333333,178.8
9250,22.58125,21.84875,179.3
9300,22.6125,21.95333333333333,179.7
9350,22.6,21.87583333333333,179.7
9400,22.61875,22.44458333333333,180.1
9450,22.6375,22.5425,180.5
9500,22.64375,22.606250000000006,180.5
9550,22.66875,22.74958333333333,180.7
9600,22.69375,22.435416666666665,180.9
9650,22.71875,22.38958333333333,181.3
9700,22.725,22.237500000000004,181.3
9750,22.73125,22.34125,181.4
9800,22.8125,22.19583333333333,181.9
9850,22.86875,22.517916666666668,183.3
9900,22.88125,22.732916666666664,183.3
9950,22.85625,22.74958333333333,183.3
10000,22.8375,22.74583333333333,182.9
10050,22.90625,22.97875,183.2
10100,22.94375,23.00208333333333,182.8
10150,23.05,23.159166666666664,183.3
10200,23.0875,23.201666666666664,182.9
10250,23.13125,23.19625,183.2
10300,23.1625,23.674166666666668,183.0
10350,23.19375,23.36458333333333,182.6
10400,23.2375,23.24916666666667,183.0
10450,23.25625,23.24958333333333,182.5
10500,23.23125,23.33458333333333,181.6
10550,23.225,23.26916666666667,180.8
10600,23.24375,23.19125,180.3
10650,23.275,23.469166666666666,180.1
10700,23.3375,24.06166666666667,181.1
10750,23.3875,24.43333333333333,180.0
